dataset,current_season,target_season,rows,matched_next,match_rate,zero_rate,ten_plus_rate
long_train,2000-2001,2001-2002,893,748,0.8376259798432251,0.37737961926091823,0.08286674132138858
long_train,2001-2002,2002-2003,889,727,0.8177727784026997,0.4251968503937008,0.0798650168728909
long_train,2002-2003,2003-2004,911,750,0.823271130625686,0.3951701427003293,0.08122941822173436
long_train,2003-2004,2004-2005,937,764,0.8153681963713981,0.4055496264674493,0.08964781216648879
long_train,2004-2005,2005-2006,958,784,0.8183716075156576,0.40292275574112735,0.08663883089770355
long_train,2005-2006,2006-2007,953,789,0.8279118572927597,0.39034627492130114,0.07030430220356768
long_train,2006-2007,2007-2008,964,783,0.8122406639004149,0.40767634854771784,0.07987551867219916
long_train,2007-2008,2008-2009,1010,820,0.8118811881188119,0.40594059405940597,0.08613861386138613
long_train,2008-2009,2009-2010,984,815,0.8282520325203252,0.4014227642276423,0.08333333333333333
long_train,2009-2010,2010-2011,1019,839,0.8233562315996075,0.4072620215897939,0.07948969578017664
long_train,2010-2011,2011-2012,1009,848,0.8404360753221011,0.38949454905847375,0.07433102081268583
long_train,2011-2012,2012-2013,1042,853,0.8186180422264875,0.42418426103646834,0.0892514395393474
long_train,2012-2013,2013-2014,1063,883,0.8306679209783632,0.3988711194731891,0.08748824082784572
long_train,2013-2014,2014-2015,1065,896,0.8413145539906103,0.40375586854460094,0.07042253521126761
long_train,2014-2015,2015-2016,1093,911,0.8334858188472095,0.4272644098810613,0.06587374199451052
long_train,2015-2016,2016-2017,991,822,0.829465186680121,0.39152371342078707,0.09384460141271443
long_train,2016-2017,2017-2018,993,832,0.837865055387714,0.3987915407854985,0.08761329305135952
long_train,2017-2018,2018-2019,954,825,0.8647798742138365,0.3490566037735849,0.09958071278825996
long_train,2018-2019,2019-2020,956,807,0.8441422594142259,0.3682008368200837,0.08577405857740586
long_train,2019-2020,2020-2021,914,788,0.862144420131291,0.3610503282275711,0.09299781181619256
long_train,2020-2021,2021-2022,960,834,0.86875,0.3416666666666667,0.09583333333333334
long_train,2021-2022,2022-2023,934,778,0.8329764453961456,0.3758029978586724,0.08137044967880086
long_train,2022-2023,2023-2024,938,738,0.7867803837953091,0.39445628997867804,0.08315565031982942
long_validation,2023-2024,2024-2025,923,769,0.8331527627302275,0.36728060671722645,0.09425785482123511
long_test,2024-2025,2025-2026,926,751,0.8110151187904968,0.3617710583153348,0.07235421166306695
advanced_train,2017-2018,2018-2019,957,819,0.8557993730407524,0.3510971786833856,0.09926854754440961
advanced_train,2018-2019,2019-2020,956,801,0.8378661087866108,0.36715481171548114,0.08577405857740586
advanced_train,2019-2020,2020-2021,916,785,0.8569868995633187,0.36026200873362446,0.09388646288209607
advanced_train,2020-2021,2021-2022,961,833,0.8668054110301769,0.3413111342351717,0.09573361082206035
advanced_train,2021-2022,2022-2023,937,793,0.8463180362860192,0.3607257203842049,0.0864461045891142
advanced_train,2022-2023,2023-2024,939,754,0.8029818956336529,0.3812566560170394,0.08306709265175719
advanced_validation,2023-2024,2024-2025,923,769,0.8331527627302275,0.36728060671722645,0.09425785482123511
advanced_test,2024-2025,2025-2026,926,751,0.8110151187904968,0.3617710583153348,0.07235421166306695
