model,fold,outer_val_season,target_season,train_n,val_n,fit_seconds,mae,rmse,r2,bias,input_dim,selected_rounds,10plus_n,10plus_mae,10plus_bias,15plus_n,15plus_mae,15plus_bias,20plus_n,20plus_mae,20plus_bias
Naive_current_goals,1,2020-2021,2021-2022,16284,834,0.0,2.629496402877698,3.9104177406608134,0.29861958125038246,0.7158273381294964,1,,92,5.032608695652174,-2.7282608695652173,31,6.548387096774194,-4.548387096774194,13,6.384615384615385,-4.6923076923076925
ElasticNet,1,2020-2021,2021-2022,16284,834,1.2726473999791779,2.352170646212901,3.312084741256465,0.49683525067792345,0.1397306578885692,24,,92,5.742904427945535,-5.2644542319549394,31,8.309136643152893,-8.122035860901999,13,10.322053028475763,-10.322053028475763
RandomForest,1,2020-2021,2021-2022,16284,834,2.9821692999685183,2.357884853976304,3.375478160624269,0.47738973854159394,0.16882466271021632,24,,92,5.829010875154973,-5.31717283703893,31,8.16145202709996,-7.73532093702285,13,9.480106936177968,-9.480106936177968
Baseline_MLP,1,2020-2021,2021-2022,16284,834,8.35284889995819,2.3834708698397633,3.3523080693255283,0.4845397585428478,0.26457721446986965,24,15.0,92,5.716736026432203,-5.161947623543117,31,8.002897954756214,-7.595230487085158,13,9.453382638784555,-9.453382638784555
XGBoost,1,2020-2021,2021-2022,16284,834,0.8817209000117145,2.3567817544908545,3.3795859855454418,0.4761169720566778,0.06884008703186072,24,153.0,92,6.059583150822183,-5.62689949636874,31,8.51731038862659,-8.075352484180081,13,9.999389244959904,-9.999389244959904
CatBoost,1,2020-2021,2021-2022,16284,834,14.373741600022186,2.3294582955139,3.3217479079382546,0.4938949529370805,0.11638615400387019,19,282.0,92,5.856882825661491,-5.334675027585934,31,8.176284738731269,-7.633958530793246,13,9.482290786123992,-9.035679017073008
Naive_current_goals,2,2021-2022,2022-2023,17118,778,0.0,2.922879177377892,4.301909661443219,0.12295247287972,0.8380462724935732,1,,76,6.2368421052631575,-3.4210526315789473,29,7.9655172413793105,-5.620689655172414,10,10.1,-7.7
ElasticNet,2,2021-2022,2022-2023,17118,778,1.391142399981618,2.52161423141455,3.557601622648658,0.40018795156358267,0.2546646757649497,24,,76,6.246982229348016,-5.645360168332351,29,8.523442011041665,-8.399244389954333,10,12.24821493325869,-11.960900175674864
RandomForest,2,2021-2022,2022-2023,17118,778,2.7793933000066318,2.5567586893413163,3.5802411232191194,0.3925296163150088,0.2578122393931797,24,,76,6.452707945070087,-5.53582474749281,29,8.798347569687566,-8.123449581181816,10,11.69724473463628,-10.855922314001356
Baseline_MLP,2,2021-2022,2022-2023,17118,778,1.110089199966751,2.5024496132656355,3.545214716868756,0.40435754754437725,0.2019570685520883,24,2.0,76,6.287441884216509,-5.662632493596328,29,8.446405969817063,-8.275168681966848,10,11.77309808731079,-11.464938068389893
