number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_depth,params_l2_leaf_reg,params_learning_rate,params_random_strength,user_attrs_inner_mae_std,user_attrs_inner_maes,state,outer_fold,outer_val_season
0,2.364431868457888,2026-08-10 05:26:18.436222,2026-08-10 05:27:54.308344,0 days 00:01:35.872122,1.9001860301761613,5,5.112505935948856,0.014806639229849893,0.0039574208838629825,0.03294156642574941,"[2.3593130074118647, 2.32689057399909, 2.407092023962709]",COMPLETE,1,2020-2021
1,2.3588353055301874,2026-08-10 05:27:54.313349,2026-08-10 05:29:21.171383,0 days 00:01:26.858034,1.9411859187290836,5,1.7379040838432596,0.015069894778936563,0.007132800525536057,0.027701487996011236,"[2.3565952838270205, 2.326083567344162, 2.393827065419379]",COMPLETE,1,2020-2021
2,2.3519991718018405,2026-08-10 05:29:21.175374,2026-08-10 05:30:28.911963,0 days 00:01:07.736589,0.3335820376143108,8,0.06554888754702204,0.02402037397029213,0.00516025329927254,0.03383049537316222,"[2.3398415182167756, 2.318004351140348, 2.3981516460483983]",COMPLETE,1,2020-2021
3,2.3525182558190356,2026-08-10 05:30:28.914960,2026-08-10 05:31:48.684414,0 days 00:01:19.769454,1.4697810062698171,7,0.025581310343260215,0.019423217258018592,0.31176832902715307,0.0327839953870793,"[2.3419795305049833, 2.3186866340654837, 2.39688860288664]",COMPLETE,1,2020-2021
4,2.3560036601898977,2026-08-10 05:31:48.687413,2026-08-10 05:32:42.985087,0 days 00:00:54.297674,0.9087734589644403,6,5.041470949972123,0.03457495084226444,0.0630518605307692,0.03083450840543847,"[2.352859974308023, 2.3199093606124586, 2.395241645649212]",COMPLETE,1,2020-2021
5,2.3420353272761654,2026-08-10 05:32:42.987087,2026-08-10 05:33:10.285880,0 days 00:00:27.298793,1.3103265915500875,4,4.741676192448358,0.025064121198136884,2.9945872820650576,,,PRUNED,1,2020-2021
6,2.361576254349608,2026-08-10 05:33:10.288881,2026-08-10 05:33:20.447537,0 days 00:00:10.158656,0.15361145972887136,6,0.015078360354216473,0.055114954545088954,0.004399981670109355,,,PRUNED,1,2020-2021
7,2.357382631498672,2026-08-10 05:33:20.450533,2026-08-10 05:34:02.388453,0 days 00:00:41.937920,0.6820410791860918,6,0.6100987646390844,0.04679347801942332,0.5661897209403929,0.031659418942549325,"[2.3476135588873843, 2.3244266851579973, 2.400107650450634]",COMPLETE,1,2020-2021
8,2.3514584777230656,2026-08-10 05:34:02.391454,2026-08-10 05:34:24.586311,0 days 00:00:22.194857,1.1065721290135575,6,6.860466437250665,0.016802840707363223,0.10123734849571585,,,PRUNED,1,2020-2021
9,2.3530050613598483,2026-08-10 05:34:24.588312,2026-08-10 05:35:39.007094,0 days 00:01:14.418782,1.6257998312808397,8,1.8514876435398029,0.04369260307000526,0.2020662604762416,0.03935388105586073,"[2.330722770386138, 2.3199792897824523, 2.4083131239109545]",COMPLETE,1,2020-2021
10,2.351102224094804,2026-08-10 05:35:39.011094,2026-08-10 05:35:47.915800,0 days 00:00:08.904706,0.00034087330564835927,8,0.11569569147227637,0.13364533016487876,0.0011974004499821867,,,PRUNED,1,2020-2021
