number,value,datetime_start,datetime_complete,duration,params_architecture,params_batch_size,params_dropout,params_learning_rate,params_weight_decay,user_attrs_inner_best_epochs,user_attrs_inner_mae_std,user_attrs_inner_maes,state,outer_fold,outer_val_season
0,2.2785298029581704,2026-08-10 06:06:54.543758,2026-08-10 06:10:43.716655,0 days 00:03:49.172897,256_128_64,32,0.27352660476537927,0.0016397833240454419,0.0008593286292144761,"[5, 4, 3]",0.04886491512896765,"[2.262576103210449, 2.228276252746582, 2.3447370529174805]",COMPLETE,1,2020-2021
1,2.2867116928100586,2026-08-10 06:10:43.726654,2026-08-10 06:12:33.013199,0 days 00:01:49.286545,128_64,64,0.10055931238509022,0.002864284508146953,0.00013312958389616967,"[4, 6, 11]",0.03737742186331284,"[2.2572526931762695, 2.2634315490722656, 2.3394508361816406]",COMPLETE,1,2020-2021
2,2.2986156940460205,2026-08-10 06:12:33.018569,2026-08-10 06:16:06.076614,0 days 00:03:33.058045,64_32,32,0.05405078595071551,0.0010166679457034198,3.413136608591765e-05,"[15, 5, 14]",0.03397376800369089,"[2.2910287380218506, 2.261322021484375, 2.343496322631836]",COMPLETE,1,2020-2021
3,2.313827912012736,2026-08-10 06:16:06.083613,2026-08-10 06:19:35.763421,0 days 00:03:29.679808,64_32,128,0.38919672975378805,0.00010600487835599122,0.0008785383696275648,"[9, 64, 62]",0.0349378035331397,"[2.2763662338256836, 2.3046581745147705, 2.360459327697754]",COMPLETE,1,2020-2021
4,2.2831664085388184,2026-08-10 06:19:35.770954,2026-08-10 06:45:45.572914,0 days 00:26:09.801960,128_64,128,0.22806531886471323,0.0009782346799458706,7.057736375257283e-06,"[10, 36, 9]",0.03603987268234448,"[2.268144130706787, 2.2484986782073975, 2.3328564167022705]",COMPLETE,1,2020-2021
5,2.284550189971924,2026-08-10 06:45:45.576322,2026-08-10 06:46:08.341544,0 days 00:00:22.765222,64_32,64,0.23391068091506817,0.0019318245334635417,0.0029163219813876772,,,,PRUNED,1,2020-2021
6,2.280696709950765,2026-08-10 06:46:08.345576,2026-08-10 06:47:43.335529,0 days 00:01:34.989953,256_128_64,64,0.1338211927570606,0.0015710496199254338,0.0029220729637582034,"[6, 16, 5]",0.040175688315557574,"[2.261512279510498, 2.243973731994629, 2.336604118347168]",COMPLETE,1,2020-2021
7,2.2662516832351685,2026-08-10 06:47:43.340093,2026-08-10 06:48:27.648727,0 days 00:00:44.308634,128_64,32,0.16102584929309438,0.002905786651031062,4.959800025989796e-06,,,,PRUNED,1,2020-2021
8,2.266960620880127,2026-08-10 06:48:27.648727,2026-08-10 06:48:47.823525,0 days 00:00:20.174798,128_64_32,128,0.1725999571690885,0.000912748318931223,0.00017045287008011072,,,,PRUNED,1,2020-2021
9,2.274328867594401,2026-08-10 06:48:47.823525,2026-08-10 06:51:56.339856,0 days 00:03:08.516331,256_128_64,32,0.1523373539456242,0.0014981723596616536,0.00040722577871239745,"[8, 4, 3]",0.04848615820792061,"[2.2618637084960938, 2.222167730331421, 2.3389551639556885]",COMPLETE,1,2020-2021
10,2.275505463282267,2026-08-10 06:51:56.344571,2026-08-10 06:55:46.216275,0 days 00:03:49.871704,256_128_64,32,0.39592880373561246,0.0003073714981290199,2.4045442692026276e-06,"[9, 16, 9]",0.04094538751973911,"[2.253288745880127, 2.2403039932250977, 2.332923650741577]",COMPLETE,1,2020-2021
11,2.2767844994862876,2026-08-10 06:55:46.219100,2026-08-10 06:59:00.457023,0 days 00:03:14.237923,256_128_64,32,0.3725408652410082,0.000308085683052042,1.2850023098062536e-06,"[9, 16, 6]",0.04021791605640921,"[2.2546226978302, 2.242501735687256, 2.3332290649414062]",COMPLETE,1,2020-2021
12,2.278486172358195,2026-08-10 06:59:00.459703,2026-08-10 07:04:14.633949,0 days 00:05:14.174246,256_128_64,32,0.3139878640934938,0.00036057679792623256,0.009122940889829895,"[9, 16, 13]",0.040667194078456356,"[2.2562687397003174, 2.243654489517212, 2.3355352878570557]",COMPLETE,1,2020-2021
13,2.268751382827759,2026-08-10 07:04:14.644962,2026-08-10 07:05:42.754792,0 days 00:01:28.109830,256_128_64,32,0.007506040690910598,0.00042667966006617637,4.985653242486079e-05,,,,PRUNED,1,2020-2021
14,2.271618127822876,2026-08-10 07:05:42.764788,2026-08-10 07:07:15.641954,0 days 00:01:32.877166,128_64_32,32,0.32646397003581695,0.00012069121462134479,2.051036579858382e-06,,,,PRUNED,1,2020-2021
0,2.332669973373413,2026-08-10 07:09:23.643287,2026-08-10 07:16:47.263084,0 days 00:07:23.619797,64_32,32,0.3726710067547227,0.00011683433831191501,0.0010416880893998764,"[28, 50, 38]",0.02347607157765475,"[2.301236152648926, 2.357640266418457, 2.3391335010528564]",COMPLETE,2,2021-2022
1,2.3117523193359375,2026-08-10 07:16:47.271521,2026-08-10 07:21:08.386997,0 days 00:04:21.115476,128_64_32,64,0.23982563577273905,0.00018124966269448078,0.00012848716969583577,"[20, 22, 34]",0.03172763204824375,"[2.2689530849456787, 2.3448195457458496, 2.321484327316284]",COMPLETE,2,2021-2022
2,2.3055593172709146,2026-08-10 07:21:08.397515,2026-08-10 07:24:23.690197,0 days 00:03:15.292682,128_64,32,0.0798188703412337,0.0005603563784132954,2.0992002399672707e-05,"[17, 5, 3]",0.03203735339573848,"[2.260309934616089, 2.3301734924316406, 2.3261945247650146]",COMPLETE,2,2021-2022
3,2.2957077026367188,2026-08-10 07:24:23.699785,2026-08-10 07:26:47.960009,0 days 00:02:24.260224,128_64_32,128,0.11592228117033843,0.0007111980797839182,2.7365682530822933e-05,"[20, 22, 12]",0.03887064569438419,"[2.241011381149292, 2.327812433242798, 2.3182992935180664]",COMPLETE,2,2021-2022
4,2.294182300567627,2026-08-10 07:26:47.969548,2026-08-10 07:29:10.267595,0 days 00:02:22.298047,128_64_32,128,0.25987642876416855,0.0008450077678954893,3.4591920931377335e-05,"[20, 22, 11]",0.04082598242279895,"[2.2382326126098633, 2.334500789642334, 2.3098134994506836]",COMPLETE,2,2021-2022
5,2.293870687484741,2026-08-10 07:29:10.276903,2026-08-10 07:29:47.882321,0 days 00:00:37.605418,64_32,64,0.26941237719014793,0.00037807330055338983,4.625685564146171e-05,,,,PRUNED,2,2021-2022
6,2.313283920288086,2026-08-10 07:29:47.891862,2026-08-10 07:30:09.355426,0 days 00:00:21.463564,128_64,128,0.07719271552374543,0.00032989667818438516,0.000978120956256559,,,,PRUNED,2,2021-2022
7,2.2856810092926025,2026-08-10 07:30:09.363439,2026-08-10 07:31:20.671592,0 days 00:01:11.308153,128_64_32,64,0.36823113735800705,0.00010338147221203906,5.41639047794964e-06,,,,PRUNED,2,2021-2022
8,2.3309085369110107,2026-08-10 07:31:20.679588,2026-08-10 07:31:39.654162,0 days 00:00:18.974574,64_32,128,0.21567628944640252,0.00010577053543464642,0.00026890780902886336,,,,PRUNED,2,2021-2022
9,2.2977598508199057,2026-08-10 07:31:39.662153,2026-08-10 07:33:27.259349,0 days 00:01:47.597196,128_64_32,128,0.3981590108217773,0.002084435246891893,0.002440087781832958,"[20, 9, 3]",0.042933800402259005,"[2.2423694133758545, 2.3469932079315186, 2.3039169311523438]",COMPLETE,2,2021-2022
10,2.2741171518961587,2026-08-10 07:33:27.267353,2026-08-10 07:35:19.081706,0 days 00:01:51.814353,256_128_64,128,0.004242667796316962,0.002846686273573225,1.0117567447339219e-06,"[11, 2, 7]",0.035585838063630304,"[2.230311155319214, 2.317474842071533, 2.2745654582977295]",COMPLETE,2,2021-2022
11,2.2727240721384683,2026-08-10 07:35:19.091827,2026-08-10 07:37:12.280241,0 days 00:01:53.188414,256_128_64,128,0.023366896217509814,0.002725915517298259,1.2196061876085763e-06,"[11, 2, 7]",0.03661581059907047,"[2.2270781993865967, 2.316722869873047, 2.2743711471557617]",COMPLETE,2,2021-2022
12,2.275149424870809,2026-08-10 07:37:12.292283,2026-08-10 07:39:02.355125,0 days 00:01:50.062842,256_128_64,128,0.012786428319196406,0.0029532490678350863,1.1719412598808596e-06,"[11, 2, 7]",0.03391892302157467,"[2.2335119247436523, 2.3165953159332275, 2.275341033935547]",COMPLETE,2,2021-2022
13,2.249908685684204,2026-08-10 07:39:02.363146,2026-08-10 07:40:06.273630,0 days 00:01:03.910484,256_128_64,128,0.001083626079112887,0.0014296266847373916,1.01929437418335e-06,,,,PRUNED,2,2021-2022
14,2.2887027263641357,2026-08-10 07:40:06.281636,2026-08-10 07:42:27.445427,0 days 00:02:21.163791,256_128_64,128,0.05823073078884321,0.0015984762671472227,4.7327655072793465e-06,"[21, 6, 6]",0.040610639775412787,"[2.2350220680236816, 2.333224296569824, 2.2978618144989014]",COMPLETE,2,2021-2022
0,2.3789055347442627,2026-08-10 07:43:26.354568,2026-08-10 07:44:17.303783,0 days 00:00:50.949215,128_64,128,0.1800319251121771,0.00045708537867114195,0.0043763198716860454,"[15, 3, 19]",0.04540044547828458,"[2.3375418186187744, 2.357059955596924, 2.44211483001709]",COMPLETE,3,2022-2023
1,2.3746183713277182,2026-08-10 07:44:17.310846,2026-08-10 07:46:48.919590,0 days 00:02:31.608744,128_64,128,0.28404621998104546,0.00033662560158673383,5.020518172992405e-05,"[33, 27, 19]",0.05673489608723537,"[2.338094472885132, 2.3310112953186035, 2.454749345779419]",COMPLETE,3,2022-2023
2,2.365386168162028,2026-08-10 07:46:48.944843,2026-08-10 07:49:09.228788,0 days 00:02:20.283945,64_32,32,0.3195119523164869,0.0028470396985691413,0.0008810309143492398,"[1, 3, 3]",0.04749210327504859,"[2.3503668308258057, 2.3162031173706055, 2.429588556289673]",COMPLETE,3,2022-2023
3,2.353721539179484,2026-08-10 07:49:09.253369,2026-08-10 07:52:25.415711,0 days 00:03:16.162342,128_64_32,64,0.25350895511935695,0.0025906295290757616,0.0026162135222552005,"[4, 23, 8]",0.04508776866596358,"[2.335801124572754, 2.3096864223480225, 2.415677070617676]",COMPLETE,3,2022-2023
4,2.3524741331736245,2026-08-10 07:52:25.424712,2026-08-10 07:56:11.321381,0 days 00:03:45.896669,256_128_64,128,0.22172282436822718,0.00024810962894399296,4.2472320949880355e-06,"[9, 29, 26]",0.054850247850604245,"[2.3271772861480713, 2.3016176223754883, 2.4286274909973145]",COMPLETE,3,2022-2023
5,2.339712142944336,2026-08-10 07:56:11.333918,2026-08-10 07:56:49.696887,0 days 00:00:38.362969,128_64_32,128,0.24377888381109236,0.002061125454238001,0.00011169072988498377,,,,PRUNED,3,2022-2023
6,2.354365825653076,2026-08-10 07:56:49.704890,2026-08-10 07:57:43.042924,0 days 00:00:53.338034,128_64,32,0.3837006373505448,0.002987610874857567,2.3859122697480017e-05,,,,PRUNED,3,2022-2023
7,2.350360552469889,2026-08-10 07:57:43.054925,2026-08-10 07:59:48.819665,0 days 00:02:05.764740,256_128_64,128,0.06488468443588342,0.0010203339829786776,0.0005091037041881607,"[4, 7, 9]",0.049330642031373315,"[2.329610824584961, 2.3030521869659424, 2.4184186458587646]",COMPLETE,3,2022-2023
8,2.3402347564697266,2026-08-10 07:59:48.828952,2026-08-10 08:02:28.462497,0 days 00:02:39.633545,128_64,32,0.3277203996740925,0.0001217320321244546,0.000309785319700096,,,,PRUNED,3,2022-2023
9,2.3459060192108154,2026-08-10 08:02:28.471496,2026-08-10 08:03:30.320959,0 days 00:01:01.849463,256_128_64,32,0.15238329866357378,0.0005623085192315939,6.857553495615283e-06,,,,PRUNED,3,2022-2023
10,2.3412857055664062,2026-08-10 08:03:30.327961,2026-08-10 08:04:18.675937,0 days 00:00:48.347976,256_128_64,64,0.006339734327792501,0.0010593672717568192,1.0975090248642243e-06,,,,PRUNED,3,2022-2023
11,2.3628884156545005,2026-08-10 08:04:18.683971,2026-08-10 08:08:21.133955,0 days 00:04:02.449984,256_128_64,128,0.041556356133910566,0.00014725050340361125,1.0022736447578402e-06,"[9, 45, 19]",0.059271185256329524,"[2.333170175552368, 2.309870958328247, 2.4456241130828857]",COMPLETE,3,2022-2023
12,2.354419469833374,2026-08-10 08:08:21.143737,2026-08-10 08:12:08.484508,0 days 00:03:47.340771,256_128_64,128,0.09560648412785713,0.00022721847228331947,6.6176386430942795e-06,"[9, 29, 26]",0.05153761407647073,"[2.3280012607574463, 2.308800458908081, 2.4264566898345947]",COMPLETE,3,2022-2023
13,2.3512419859568277,2026-08-10 08:12:08.491507,2026-08-10 08:14:27.104551,0 days 00:02:18.613044,256_128_64,128,0.1491773631258066,0.0009739429029690039,0.0005017963054213614,"[9, 7, 8]",0.04902100088081882,"[2.3277156352996826, 2.3065297603607178, 2.419480562210083]",COMPLETE,3,2022-2023
14,2.3468856811523438,2026-08-10 08:14:27.113101,2026-08-10 08:14:56.994978,0 days 00:00:29.881877,64_32,128,0.12102827615265238,0.0010201619843437728,0.0005125534564691274,,,,PRUNED,3,2022-2023
0,2.3690222104390464,2026-08-10 08:16:00.675233,2026-08-10 08:21:49.943538,0 days 00:05:49.268305,64_32,32,0.32067667106787534,0.00010182022589540344,0.003726252824060066,"[18, 17, 39]",0.06026104374214056,"[2.337076187133789, 2.453418016433716, 2.316572427749634]",COMPLETE,4,2023-2024
1,2.350902477900187,2026-08-10 08:21:49.954345,2026-08-10 08:27:09.163497,0 days 00:05:19.209152,64_32,32,0.31883676606499267,0.0006738466716962448,0.0009400748489652,"[3, 7, 11]",0.057553013813799764,"[2.324127674102783, 2.430854558944702, 2.297725200653076]",COMPLETE,4,2023-2024
2,2.330354690551758,2026-08-10 08:27:09.167536,2026-08-10 08:27:56.749340,0 days 00:00:47.581804,128_64,32,0.021452059666484627,0.0010002977071778892,0.0010074922163141908,"[4, 5, 4]",0.05536931644675522,"[2.3020927906036377, 2.4077279567718506, 2.281243324279785]",COMPLETE,4,2023-2024
3,2.3467085361480713,2026-08-10 08:27:56.751853,2026-08-10 08:29:31.018044,0 days 00:01:34.266191,128_64,32,0.1414299217183344,0.00022620307394850036,2.526113357963245e-06,"[33, 20, 11]",0.05110225672119825,"[2.3149027824401855, 2.418811559677124, 2.3064112663269043]",COMPLETE,4,2023-2024
4,2.3596067428588867,2026-08-10 08:29:31.021047,2026-08-10 08:30:19.473486,0 days 00:00:48.452439,64_32,64,0.26258559177843316,0.00037256013013645345,0.0065705000190228275,"[18, 7, 26]",0.05922421979961671,"[2.328571081161499, 2.442495584487915, 2.307753562927246]",COMPLETE,4,2023-2024
5,2.3298146724700928,2026-08-10 08:30:19.475998,2026-08-10 08:31:03.376257,0 days 00:00:43.900259,256_128_64,128,0.304762933458727,0.0006748533858320731,1.0042053308894948e-06,"[9, 8, 16]",0.06036318813581535,"[2.3004348278045654, 2.4139177799224854, 2.2750914096832275]",COMPLETE,4,2023-2024
6,2.3523078759511313,2026-08-10 08:31:03.379257,2026-08-10 08:32:37.944473,0 days 00:01:34.565216,128_64_32,32,0.08864504986347228,0.00017666749177562595,1.955066406054283e-05,"[31, 1, 15]",0.06458217630532549,"[2.308274030685425, 2.4436216354370117, 2.305027961730957]",COMPLETE,4,2023-2024
7,2.3400840759277344,2026-08-10 08:32:37.947473,2026-08-10 08:34:12.243250,0 days 00:01:34.295777,128_64,32,0.3309669054425686,0.00036222910330963406,6.66096776503139e-06,"[32, 20, 11]",0.047166911671623186,"[2.312333822250366, 2.4064903259277344, 2.3014280796051025]",COMPLETE,4,2023-2024
8,2.342256466547648,2026-08-10 08:34:12.246248,2026-08-10 08:35:13.276899,0 days 00:01:01.030651,256_128_64,64,0.2638481737568334,0.00019639586728157417,4.562607288776586e-06,"[9, 8, 16]",0.07403419704100063,"[2.3065593242645264, 2.445345163345337, 2.274864912033081]",COMPLETE,4,2023-2024
9,2.332951784133911,2026-08-10 08:35:13.279898,2026-08-10 08:36:39.068454,0 days 00:01:25.788556,256_128_64,32,0.32323355079931426,0.00023682490551150758,0.0014386383641279198,"[8, 2, 16]",0.06748330016549683,"[2.296041250228882, 2.4276251792907715, 2.27518892288208]",COMPLETE,4,2023-2024
10,2.3251595497131348,2026-08-10 08:36:39.070976,2026-08-10 08:37:10.028713,0 days 00:00:30.957737,256_128_64,128,0.17426152320024288,0.002790396351953834,7.787783016192728e-05,"[8, 2, 2]",0.06497666256665707,"[2.2951409816741943, 2.4153826236724854, 2.2649550437927246]",COMPLETE,4,2023-2024
11,2.3292951583862305,2026-08-10 08:37:10.031712,2026-08-10 08:37:40.171984,0 days 00:00:30.140272,256_128_64,128,0.16745741431904915,0.0028711057119314015,8.883257694604552e-05,"[6, 2, 2]",0.06287879310230286,"[2.3053205013275146, 2.4154412746429443, 2.2671236991882324]",COMPLETE,4,2023-2024
12,2.3241565227508545,2026-08-10 08:37:40.173983,2026-08-10 08:38:13.684382,0 days 00:00:33.510399,256_128_64,128,0.17784478909131868,0.0028267525438625076,8.318308206340892e-05,"[8, 6, 2]",0.05896426454577913,"[2.303114414215088, 2.4045567512512207, 2.264798402786255]",COMPLETE,4,2023-2024
13,2.3265013694763184,2026-08-10 08:38:13.687774,2026-08-10 08:38:44.691203,0 days 00:00:31.003429,256_128_64,128,0.1874352189513289,0.0027288475874906407,0.00012091318995506966,"[8, 2, 2]",0.061599032650896404,"[2.3019611835479736, 2.4111592769622803, 2.266383647918701]",COMPLETE,4,2023-2024
14,2.3371530373891196,2026-08-10 08:38:44.693200,2026-08-10 08:39:15.623922,0 days 00:00:30.930722,128_64_32,128,0.20988207880578647,0.0015704858380239228,9.886182549079402e-05,"[19, 1, 7]",0.0509519357234014,"[2.3016810417175293, 2.4092071056365967, 2.3005709648132324]",COMPLETE,4,2023-2024
