number,value,params_bagging_temperature,params_depth,params_l2_leaf_reg,params_learning_rate,params_random_strength,state,user_attrs_inner_mae_std,user_attrs_inner_maes,outer_fold,outer_val_season
0,2.362804098076163,1.9001860301761613,5,5.112505935948856,0.014806639229849893,0.0039574208838629825,COMPLETE,0.0391160829486866,"[2.356826375983251, 2.3181662644356296, 2.413419653809609]",1,2020-2021
1,2.365494524690298,1.9411859187290836,5,1.7379040838432596,0.015069894778936563,0.007132800525536057,COMPLETE,0.04115576154944286,"[2.3506397612803496, 2.3241859128576645, 2.42165789993288]",1,2020-2021
2,2.381847121357287,0.3335820376143108,8,0.06554888754702204,0.02402037397029213,0.00516025329927254,COMPLETE,0.05289538015795364,"[2.395099979776774, 2.311462138440088, 2.438979245854998]",1,2020-2021
3,2.372246335739128,1.4697810062698171,7,0.025581310343260215,0.019423217258018592,0.31176832902715307,COMPLETE,0.050545758513973894,"[2.371059843851821, 2.3109424514312065, 2.434736711934357]",1,2020-2021
4,2.3619209242289343,0.9087734589644403,6,5.041470949972123,0.03457495084226444,0.0630518605307692,COMPLETE,0.040828444075120665,"[2.3548981480121447, 2.3157991255662824, 2.415065499108375]",1,2020-2021
5,2.382764011483152,1.3103265915500875,4,4.741676192448358,0.025064121198136884,2.9945872820650576,PRUNED,,,1,2020-2021
6,2.39947245950746,0.15361145972887136,6,0.015078360354216473,0.055114954545088954,0.004399981670109355,PRUNED,,,1,2020-2021
7,2.3834491082194447,0.6820410791860918,6,0.6100987646390844,0.04679347801942332,0.5661897209403929,PRUNED,,,1,2020-2021
8,2.360700065819948,1.1065721290135575,6,6.860466437250665,0.016802840707363223,0.10123734849571585,COMPLETE,0.048009641806472055,"[2.3526299688293024, 2.3063523796199883, 2.4231178490105543]",1,2020-2021
9,2.3621285291144325,1.6257998312808397,8,1.8514876435398029,0.04369260307000526,0.2020662604762416,PRUNED,,,1,2020-2021
10,2.366818528180681,0.9805573087065942,4,0.18161126042882814,0.1337212109328161,0.029921015633884957,PRUNED,,,1,2020-2021
11,2.3685693830109806,0.9884586168445684,6,15.733769519726378,0.010191338932206244,0.054239354771965495,PRUNED,,,1,2020-2021
12,2.378241092153084,0.8295078583685908,7,12.818314723122098,0.03387659457958296,0.03559803012547791,PRUNED,,,1,2020-2021
13,2.3709168450428337,0.5182636959668239,5,0.7899536292196687,0.08445003395837687,0.10047601291784235,PRUNED,,,1,2020-2021
14,2.3821511398662,1.1603230361126424,7,8.244955359541795,0.030216098083011084,1.3448296042247834,PRUNED,,,1,2020-2021
0,2.363992846049199,1.8281416153319876,7,0.5841965320720277,0.053762494320805994,0.19162190965722323,COMPLETE,0.047731657147174665,"[2.324122955280544, 2.431100458292575, 2.336755124574477]",2,2021-2022
1,2.3744521570672568,1.0954440297461379,5,0.19165468813070394,0.12157277286199462,0.1675159496293046,COMPLETE,0.0473167884373208,"[2.3425316545973667, 2.4413449994751, 2.339479817129304]",2,2021-2022
2,2.385278084557806,1.0224782815350362,8,0.2531024905754316,0.033772502793670445,0.0675649661168369,COMPLETE,0.054746770627612455,"[2.3359571632659493, 2.461624117498336, 2.3582529729091335]",2,2021-2022
3,2.3727365472786617,0.7609505427397749,5,9.38130600633775,0.051754511438458974,0.21293394330170354,COMPLETE,0.05702598811069212,"[2.315364115439016, 2.450506854598908, 2.352338671798062]",2,2021-2022
4,2.3622887936693346,1.4666304787720816,8,0.03681153836714184,0.011562472350028184,1.7701667950113096,COMPLETE,0.04652070660724315,"[2.322754728479091, 2.427597647506102, 2.336514005022812]",2,2021-2022
5,2.3352082608036637,1.7699968417165322,6,0.02360780326110868,0.08021576394351584,0.001724388063552219,PRUNED,,,2,2021-2022
6,2.327940651248557,1.2737326758699692,4,0.1444420764244803,0.010241165598979534,0.565035715316131,PRUNED,,,2,2021-2022
7,2.3309898453574487,0.9118067758461839,5,0.20554357964410871,0.1462939874228049,0.13395260349633056,PRUNED,,,2,2021-2022
8,2.375488068461109,0.4296804440605597,6,12.84092909378076,0.011114695216957297,0.006870107497216659,COMPLETE,0.06396319234829372,"[2.3104574645691707, 2.46245702392238, 2.353549716891775]",2,2021-2022
9,2.3252576536393943,0.10773008817828811,8,0.25147010472679326,0.09684547618663013,0.7784175942174748,PRUNED,,,2,2021-2022
10,2.3479508983920865,1.4281862614800693,7,0.014145919466910482,0.02019768424145793,3.831763489688446,PRUNED,,,2,2021-2022
11,2.325913617879135,1.917048596284602,7,1.873625059488606,0.02463714041758395,4.440148191096727,PRUNED,,,2,2021-2022
12,2.3324126392690188,1.5901251112997565,7,1.3810614788339404,0.051972080268776,0.025013104658277635,PRUNED,,,2,2021-2022
13,2.34324194767516,1.6676283504134617,8,0.041571824557707894,0.01578874976905028,1.1336556154085595,PRUNED,,,2,2021-2022
14,2.3646524131221707,1.9415560201568407,7,1.076273815404312,0.04047400219321954,0.023338960741526926,COMPLETE,0.061719217978242875,"[2.3086170195897697, 2.450626289934338, 2.334713929842405]",2,2021-2022
0,2.4079402105532393,1.5656647399587598,5,0.036239149333817375,0.01864694911829901,0.008972112465833846,COMPLETE,0.05765875148972199,"[2.4436721664311034, 2.3265981116562098, 2.4535503535724055]",3,2022-2023
1,2.419239483582441,1.0535222829324458,8,1.6422108774231945,0.060782543916386204,0.02162392639431045,COMPLETE,0.060200574885450255,"[2.458600205733097, 2.3341816494093997, 2.4649365956048257]",3,2022-2023
2,2.413476758373321,1.5679948011263827,7,1.9011035754999115,0.019650155848972683,0.7775729113967866,COMPLETE,0.056412177614970874,"[2.4426665828741148, 2.3345820305391753, 2.4631816617066744]",3,2022-2023
