number,value,params_architecture,params_batch_size,params_dropout,params_learning_rate,params_weight_decay,state,user_attrs_inner_best_epochs,user_attrs_inner_mae_std,user_attrs_inner_maes,outer_fold,outer_val_season
0,2.2982465426127114,256_128_64,32,0.27352660476537927,0.0016397833240454419,0.0008593286292144761,COMPLETE,"[6, 13, 3]",0.050813186431644786,"[2.239875555038452, 2.291133403778076, 2.3637306690216064]",1,2020-2021
1,2.313606023788452,128_64,64,0.10055931238509022,0.002864284508146953,0.00013312958389616967,COMPLETE,"[3, 2, 4]",0.04067091879933758,"[2.2717902660369873, 2.300312042236328, 2.368715763092041]",1,2020-2021
2,2.327310482660929,64_32,32,0.05405078595071551,0.0010166679457034198,3.413136608591765e-05,COMPLETE,"[6, 7, 6]",0.03238136938232059,"[2.2962889671325684, 2.313647985458374, 2.3719944953918457]",1,2020-2021
3,2.3365617593129477,64_32,128,0.38919672975378805,0.00010600487835599122,0.0008785383696275648,COMPLETE,"[120, 120, 118]",0.033966553109367595,"[2.294299840927124, 2.3379180431365967, 2.377467393875122]",1,2020-2021
4,2.3376003901163735,128_64,128,0.22806531886471323,0.0009782346799458706,7.057736375257283e-06,COMPLETE,"[10, 17, 20]",0.03135330732038667,"[2.2956926822662354, 2.346010208129883, 2.371098279953003]",1,2020-2021
5,2.3213958740234375,64_32,64,0.23391068091506817,0.0019318245334635417,0.0029163219813876772,COMPLETE,"[6, 7, 6]",0.03469262547042439,"[2.2779085636138916, 2.3234670162200928, 2.362812042236328]",1,2020-2021
6,2.307025909423828,256_128_64,64,0.1338211927570606,0.0015710496199254338,0.0029220729637582034,COMPLETE,"[6, 6, 14]",0.04681124592618604,"[2.253385066986084, 2.3002467155456543, 2.367445945739746]",1,2020-2021
7,2.313813845316569,128_64,32,0.16102584929309438,0.002905786651031062,4.959800025989796e-06,COMPLETE,"[2, 2, 4]",0.05034970594508955,"[2.2457878589630127, 2.329606294631958, 2.3660473823547363]",1,2020-2021
8,2.2899343967437744,128_64_32,128,0.1725999571690885,0.000912748318931223,0.00017045287008011072,PRUNED,,,,1,2020-2021
9,2.3069090048472085,256_128_64,32,0.1523373539456242,0.0014981723596616536,0.00040722577871239745,COMPLETE,"[6, 7, 3]",0.04417776982194698,"[2.256647825241089, 2.299901247024536, 2.364177942276001]",1,2020-2021
10,2.2953861554463706,256_128_64,32,0.39592880373561257,0.00033464635050717116,0.007877893533262572,COMPLETE,"[10, 6, 32]",0.04203871320336615,"[2.2461068630218506, 2.2912240028381348, 2.348827600479126]",1,2020-2021
11,2.2955493132273355,256_128_64,32,0.38022954591882224,0.0003625859093002528,0.008577553470297036,COMPLETE,"[7, 6, 32]",0.04193343691354596,"[2.2461788654327393, 2.2917821407318115, 2.348686933517456]",1,2020-2021
12,2.2966601848602295,256_128_64,32,0.3957345948727776,0.00031082629725639246,0.00912294088982992,COMPLETE,"[10, 6, 32]",0.04429815222038591,"[2.244208574295044, 2.2932193279266357, 2.352552652359009]",1,2020-2021
13,2.3002278010050454,256_128_64,32,0.3243294535073086,0.00032725599096682643,0.0096276784125963,COMPLETE,"[10, 6, 38]",0.04372145288708888,"[2.245922327041626, 2.3017771244049072, 2.3529839515686035]",1,2020-2021
