target_year,first_big5_game_date,cutoff_date,cutoff_source
2001,,2001-07-31,fallback_jul31
2002,,2002-07-31,fallback_jul31
2003,,2003-07-31,fallback_jul31
2004,,2004-07-31,fallback_jul31
2005,,2005-07-31,fallback_jul31
2006,,2006-07-31,fallback_jul31
2007,,2007-07-31,fallback_jul31
2008,,2008-07-31,fallback_jul31
2009,,2009-07-31,fallback_jul31
2010,,2010-07-31,fallback_jul31
2011,,2011-07-31,fallback_jul31
2012,2012-08-10,2012-08-09,duckdb_big5_first_game
2013,2013-08-09,2013-08-08,duckdb_big5_first_game
2014,2014-08-08,2014-08-07,duckdb_big5_first_game
2015,2015-08-07,2015-08-06,duckdb_big5_first_game
2016,2016-08-12,2016-08-11,duckdb_big5_first_game
2017,2017-08-04,2017-08-03,duckdb_big5_first_game
2018,2018-08-10,2018-08-09,duckdb_big5_first_game
2019,2019-08-09,2019-08-08,duckdb_big5_first_game
2020,2020-08-21,2020-08-20,duckdb_big5_first_game
2021,2021-08-06,2021-08-05,duckdb_big5_first_game
2022,2022-08-05,2022-08-04,duckdb_big5_first_game
2023,2023-08-11,2023-08-10,duckdb_big5_first_game
2024,2024-08-15,2024-08-14,duckdb_big5_first_game
