player,norm_player,rank,candidate_norm_name,similarity,candidate_player_ids
Abder Ramdane,abder ramdane,1,ylber ramadani,0.7407407407407407,[442703]
Abder Ramdane,abder ramdane,2,abderrahmane sarr,0.7333333333333333,[1144153]
Abder Ramdane,abder ramdane,3,abde raihani,0.72,[860062]
Adaílton,adailton,1,adailton,1.0,"[101253, 21853, 18699, 34371]"
Adaílton,adailton,2,ailton,0.8571428571428571,"[32860, 283863, 353214, 516]"
Adaílton,adailton,3,mailton,0.8,[607210]
Adel Sellimi,adel sellimi,1,adul seidi,0.7272727272727273,[316828]
Aílton Gonçalves,ailton goncalves,1,anthony goncalves,0.8484848484848485,[111528]
Aílton Gonçalves,ailton goncalves,2,vitor goncalves,0.8387096774193549,[194547]
Aílton Gonçalves,ailton goncalves,3,ivo goncalves,0.8275862068965517,[45243]
Aleksandr Mostovoi,aleksandr mostovoi,1,aleksandr mostovoy,0.9444444444444444,[7556]
Aleksandr Mostovoi,aleksandr mostovoi,2,aleksandr zotov,0.8484848484848485,[93177]
Aleksandr Mostovoi,aleksandr mostovoi,3,aleksandr osipov,0.8235294117647058,[623380]
Aleksandre Iashvili,aleksandre iashvili,1,aleksandre amisulashvili,0.8837209302325582,[16095]
Aleksandre Iashvili,aleksandre iashvili,2,alexander iashvili,0.8648648648648649,[408]
Aleksandre Iashvili,aleksandre iashvili,3,aleksandr tashaev,0.7777777777777778,[260301]
Alessandro Mazzola,alessandro mazzola,1,sandro mazzola,0.875,[21867]
Alessandro Mazzola,alessandro mazzola,2,alessandro sala,0.8484848484848485,[465660]
Alessandro Mazzola,alessandro mazzola,3,alessandro mazzocchi,0.8421052631578947,[1371019]
Alex Fernández,alex fernandez,1,alex fernandez,1.0,"[89733, 7885]"
Alex Fernández,alex fernandez,2,alex fernandes,0.9285714285714286,[983977]
Alex Fernández,alex fernandez,3,walter fernandez,0.8666666666666667,[65236]
Alexander Strehmel,alexander strehmel,1,alexander stephan,0.8,[21345]
Alexander Strehmel,alexander strehmel,2,alexander thamm,0.7878787878787878,[6724]
Alexander Strehmel,alexander strehmel,3,alexander stolz,0.7878787878787878,[10329]
Alexey Smertin,alexey smertin,1,aleksey smertin,0.896551724137931,[5379]
Alexey Smertin,alexey smertin,2,alex martin,0.8,[345083]
Alexey Smertin,alexey smertin,3,lee martin,0.75,[15449]
Alf-Inge Håland,alf inge haland,1,alf inge haaland,0.967741935483871,[107179]
Alf-Inge Håland,alf inge haland,2,erling haaland,0.7586206896551724,[418560]
Alf-Inge Håland,alf inge haland,3,jon inge hoiland,0.7096774193548387,[18777]
Alfredo,alfredo,1,alfred gomis,0.7368421052631579,[163568]
Alfredo,alfredo,2,fred,0.7272727272727273,"[191614, 31005]"
Alfredo,alfredo,3,fredson,0.7142857142857143,[7888]
André Breitenreiter,andre breitenreiter,1,andres renteria,0.7058823529411765,[233007]
André Breitenreiter,andre breitenreiter,2,andreas leitner,0.7058823529411765,[106851]
Andreas Schmidt,andreas schmidt,1,andreas smed,0.8148148148148148,[384802]
Andreas Schmidt,andreas schmidt,2,andreas ivanschitz,0.7878787878787878,[2923]
Andreas Schmidt,andreas schmidt,3,niklas schmidt,0.7586206896551724,[275249]
Andy Impey,andy impey,1,kyan himpe,0.7,[1358447]
Antonio Bellavista,antonio bellavista,1,antonino asta,0.7741935483870968,[192381]
Antonio Bellavista,antonio bellavista,2,antonio saviano,0.7272727272727273,[38667]
Antonio Bellavista,antonio bellavista,3,antonio cinelli,0.7272727272727273,[73920]
Benito Carbone,benito carbone,1,benny carbone,0.8148148148148148,[3389]
Benito Carbone,benito carbone,2,tomy carbonell,0.7142857142857143,[1283968]
Benito Carbone,benito carbone,3,renato garrone,0.7142857142857143,[434589]
Carlo Nervo,carlo nervo,1,carlos neva,0.8181818181818182,[448844]
Carlo Nervo,carlo nervo,2,carlos cisneros,0.7692307692307693,[258207]
Carlo Nervo,carlo nervo,3,carlos roa,0.7619047619047619,[8137]
César Palacios,cesar palacios,1,cesar palacios,1.0,"[948272, 7738]"
