player,norm_player,candidate_ids,candidate_id_count,tm_player_id,match_method,match_confidence,age_match_error
Abder Ramdane,abder ramdane,[],0,,unmatched,UNMATCHED,
Adaílton,adailton,"[18699, 21853, 34371, 101253]",4,,unmatched,UNMATCHED,
Adel Sellimi,adel sellimi,[],0,,unmatched,UNMATCHED,
Aílton Gonçalves,ailton goncalves,[],0,,unmatched,UNMATCHED,
Aleksandr Mostovoi,aleksandr mostovoi,[],0,,unmatched,UNMATCHED,
Aleksandre Iashvili,aleksandre iashvili,[],0,,unmatched,UNMATCHED,
Alessandro Mazzola,alessandro mazzola,[],0,,unmatched,UNMATCHED,
Alex Fernández,alex fernandez,"[7885, 89733]",2,,unmatched,UNMATCHED,
Alexander Strehmel,alexander strehmel,[],0,,unmatched,UNMATCHED,
Alexey Smertin,alexey smertin,[],0,,unmatched,UNMATCHED,
Alf-Inge Håland,alf inge haland,[],0,,unmatched,UNMATCHED,
Alfredo,alfredo,[],0,,unmatched,UNMATCHED,
Altin Rraklli,altin rraklli,[],0,,unmatched,UNMATCHED,
André Breitenreiter,andre breitenreiter,[],0,,unmatched,UNMATCHED,
Andreas Schmidt,andreas schmidt,[],0,,unmatched,UNMATCHED,
Andy Impey,andy impey,[],0,,unmatched,UNMATCHED,
Antonio Bellavista,antonio bellavista,[],0,,unmatched,UNMATCHED,
Arteaga,arteaga,[],0,,unmatched,UNMATCHED,
Benito Carbone,benito carbone,[],0,,unmatched,UNMATCHED,
Carlo Nervo,carlo nervo,[],0,,unmatched,UNMATCHED,
Carsten Ramelow,carsten ramelow,[],0,,unmatched,UNMATCHED,
César Palacios,cesar palacios,"[7738, 948272]",2,,unmatched,UNMATCHED,
Chen Yang,chen yang,[],0,,unmatched,UNMATCHED,
Christian,christian,"[3371, 281831, 658678]",3,,unmatched,UNMATCHED,
Christian Springer,christian springer,[],0,,unmatched,UNMATCHED,
Claude Michel,claude michel,[],0,,unmatched,UNMATCHED,
Costinha,costinha,"[9826, 236886, 539252]",3,,unmatched,UNMATCHED,
Craig Burley,craig burley,[],0,,unmatched,UNMATCHED,
Daniel Amieva,daniel amieva,[],0,,unmatched,UNMATCHED,
Daniel Cordone,daniel cordone,[],0,,unmatched,UNMATCHED,
David Batty,david batty,[],0,,unmatched,UNMATCHED,
Dirk Lottner,dirk lottner,[],0,,unmatched,UNMATCHED,
Djalminha,djalminha,"[2960, 244152]",2,,unmatched,UNMATCHED,
Dmitri Khokhlov,dmitri khokhlov,[],0,,unmatched,UNMATCHED,
Edu,edu,"[7550, 9543, 479640, 841731]",4,,unmatched,UNMATCHED,
Eusebio Sacristán,eusebio sacristan,[],0,,unmatched,UNMATCHED,
Evanílson,evanilson,"[110, 711337]",2,,unmatched,UNMATCHED,
Eyjólfur,eyjolfur,[],0,,unmatched,UNMATCHED,
Fran,fran,"[7498, 7880]",2,,unmatched,UNMATCHED,
Francisco Yeste,francisco yeste,[],0,,unmatched,UNMATCHED,
Franklin,franklin,[],0,,unmatched,UNMATCHED,
Frédéric Meyrieu,frederic meyrieu,[],0,,unmatched,UNMATCHED,
Gabri García,gabri garcia,[],0,,unmatched,UNMATCHED,
Gary Sundgren,gary sundgren,[],0,,unmatched,UNMATCHED,
Georgi Kinkladze,georgi kinkladze,[],0,,unmatched,UNMATCHED,
Gerardo,gerardo,[],0,,unmatched,UNMATCHED,
Geremi,geremi,[],0,,unmatched,UNMATCHED,
Gheorghe Craioveanu,gheorghe craioveanu,[],0,,unmatched,UNMATCHED,
Gianluca Pessotto,gianluca pessotto,[],0,,unmatched,UNMATCHED,
Gunter Van Handenhoven,gunter van handenhoven,[],0,,unmatched,UNMATCHED,
Gus Poyet,gus poyet,[],0,,unmatched,UNMATCHED,
Gustavo López,gustavo lopez,[],0,,unmatched,UNMATCHED,
Harald Cerny,harald cerny,[],0,,unmatched,UNMATCHED,
Hélder Baptista,helder baptista,[],0,,unmatched,UNMATCHED,
Hermes Desio,hermes desio,[],0,,unmatched,UNMATCHED,
Hoalid Regragui,hoalid regragui,[],0,,unmatched,UNMATCHED,
Idrissa Keita,idrissa keita,[],0,,unmatched,UNMATCHED,
Iván Díaz Ruiz,ivan diaz ruiz,[],0,,unmatched,UNMATCHED,
Janosch Dziwior,janosch dziwior,[],0,,unmatched,UNMATCHED,
Javier de Pedro,javier de pedro,[],0,,unmatched,UNMATCHED,
Javier Manjarín,javier manjarin,[],0,,unmatched,UNMATCHED,
Jermaine Wright,jermaine wright,[],0,,unmatched,UNMATCHED,
Jesús Turiel,jesus turiel,[],0,,unmatched,UNMATCHED,
Jim Magilton,jim magilton,[],0,,unmatched,UNMATCHED,
José Luis Caminero,jose luis caminero,[],0,,unmatched,UNMATCHED,
José Mamede,jose mamede,[],0,,unmatched,UNMATCHED,
José Manuel,jose manuel,"[2759, 627277]",2,,unmatched,UNMATCHED,
