season,events,dated_events,date_coverage
2000,1460,0,0.0
2001,1412,0,0.0
2002,1495,1,0.0006688963210702341
2003,1575,2,0.0012698412698412698
2004,1747,6,0.0034344590726960505
2005,1790,13,0.007262569832402235
2006,1747,21,0.012020606754436176
2007,1818,46,0.025302530253025302
2008,1801,51,0.028317601332593003
2009,1821,68,0.037342119714442616
2010,1865,110,0.058981233243967826
2011,2089,194,0.09286740067017712
2012,2092,231,0.1104206500956023
2013,2274,340,0.14951627088830255
2014,2405,472,0.19625779625779627
2015,2302,615,0.26715899218071243
2016,2227,686,0.30803771890435566
2017,2149,792,0.3685435086086552
2018,2133,919,0.4308485700890764
2019,2225,1069,0.48044943820224717
2020,1919,1022,0.532569046378322
2021,1986,1173,0.5906344410876133
2022,2192,1473,0.6719890510948905
2023,2128,1615,0.7589285714285714
2024,1926,1543,0.8011422637590861
2025,2094,1653,0.7893982808022922
