player,nation,team,league,season,target_season,position,position_group,age,matched_next,starts,minutes,goals,assists,non_penalty_goals,penalty_goals,penalty_attempts,goals_per90,assists_per90,goal_contrib_per90,next_goals,next_10plus,season_start,target_year,row_id,norm_player,norm_current_team,tm_player_id,match_method,match_confidence,first_big5_game_date,cutoff_date,cutoff_source,timeline_status,confirmed_preseason_event_count,preseason_team_transition_count,selected_event_id,destination_team,destination_league,destination_country,unknown_date_context_event_count_audit,post_cutoff_context_event_count_audit,context_mismatch_pre_event_count_audit,timeline_trace,tr_event_id,tr_transfer_date,tr_from_club,tr_to_club,tr_from_league,tr_to_league,tr_from_country,tr_to_country,tr_transfer_fee_eur,tr_transfer_market_value_eur,tr_is_loan,tr_db_date_match_method,tr_db_match_score,transfer_event_preseason,norm_destination_team,changed_team_preseason,destination_in_big5,same_league_transfer,league_changed,country_changed,is_loan_preseason,transfer_date_preseason,days_since_transfer,transfer_fee_eur,transfer_market_value_eur,transfer_fee_known,transfer_fee_positive,log_transfer_fee,fee_to_transfer_market_value_ratio,mv_preseason_value_eur,mv_preseason_valuation_date,mv_preseason_peak_eur,mv_6m_value_eur,mv_6m_valuation_date,mv_6m_peak_eur,mv_12m_value_eur,mv_12m_valuation_date,mv_12m_peak_eur,market_value_preseason_eur,market_value_source,market_value_known,log_market_value,market_value_6m_eur,market_value_12m_eur,market_value_change_6m_eur,market_value_change_12m_eur,market_value_growth_6m,market_value_growth_12m,market_value_peak_to_cutoff_eur,market_value_vs_peak,valuation_age_days,market_value_percentile,market_value_vs_position_median,old_team_stats_name,old_team_rank_pct,old_team_points_per_game,old_team_goal_diff_per_game,new_team_stats_name,new_team_match_score,new_team_second_score,new_team_match_margin,new_team_match_method,new_team_strength_league,new_team_prev_rank_pct,new_team_prev_points_per_game,new_team_prev_goal_diff_per_game,new_team_strength_missing,team_rank_change,team_points_change,team_goal_diff_change,audit_norm_player,audit_norm_team,audit_status
Abdoulaye Keita,ml MLI,Bastia,Ligue 1,2016-2017,2017-2018,"DF,MF",MF,22.0,False,14.0,1471.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2016,2017,15785,abdoulaye keita,bastia,178019.0,exact_name_age_resolved,B,2017-08-04,2017-08-03,duckdb_big5_first_game,no_summer_event,0,0,,Bastia,Ligue 1,France,0,0,0,,,,,,,,,,,,,,,0,bastia,0,1,0,0,0,0,,,,,0,0,,,400000.0,2017-06-01,400000.0,300000.0,2017-01-16,300000.0,300000.0,2016-07-13,300000.0,400000.0,historical_valuation,1,12.899222326086994,300000.0,300000.0,100000.0,100000.0,0.3333333333333332,0.3333333333333332,400000.0,1.0,63.0,0.0132135306553911,0.1,Bastia,0.0,0.8947368421052632,-0.7368421052631579,Bastia,1.0,,,same_team_copy_old,Ligue 1,0.0,0.8947368421052632,-0.7368421052631579,0,0.0,0.0,0.0,abdoulaye keita,bastia,STABLE_BIG5_REVIEW
Abdul Majeed Waris,gh GHA,Lorient,Ligue 1,2016-2017,2017-2018,"FW,MF",FW,24.0,False,31.0,2840.0,9.0,5.0,8.0,1.0,3.0,0.2852112676056338,0.1584507042253521,0.4436619718309859,0.0,0,2016,2017,15786,abdul majeed waris,lorient,,unmatched,UNMATCHED,2017-08-04,2017-08-03,duckdb_big5_first_game,no_player_id,0,0,,Lorient,Ligue 1,France,0,0,0,,,,,,,,,,,,,,,0,lorient,0,1,0,0,0,0,,,,,0,0,,,,,,,,,,,,,missing,0,,,,,,,,,,,,,Lorient,0.1052631578947368,0.9473684210526316,-0.6842105263157895,Lorient,1.0,,,same_team_copy_old,Ligue 1,0.1052631578947368,0.9473684210526316,-0.6842105263157895,0,0.0,0.0,0.0,abdul majeed waris,lorient,STABLE_BIG5_REVIEW
Abel Hernández,uy URU,Hull City,Premier League,2016-2017,2017-2018,FW,FW,25.0,False,16.0,1425.0,4.0,3.0,4.0,0.0,0.0,0.2526315789473684,0.1894736842105263,0.4421052631578948,0.0,0,2016,2017,15787,abel hernandez,hull city,76608.0,exact_normalized_unique,A,2017-08-04,2017-08-03,duckdb_big5_first_game,no_summer_event,0,0,,Hull City,Premier League,England,0,0,0,,,,,,,,,,,,,,,0,hull city,0,1,0,0,0,0,,,,,0,0,,,8000000.0,2017-06-28,8000000.0,8000000.0,2016-08-01,8000000.0,8000000.0,2016-08-01,8000000.0,8000000.0,historical_valuation,1,15.894952224644102,8000000.0,8000000.0,0.0,0.0,0.0,0.0,8000000.0,1.0,36.0,0.638477801268499,1.1428571428571428,Hull,0.1052631578947368,0.8947368421052632,-1.131578947368421,Hull,1.0,,,same_team_copy_old,Premier League,0.1052631578947368,0.8947368421052632,-1.131578947368421,0,0.0,0.0,0.0,abel hernandez,hull city,STABLE_BIG5_REVIEW
Adam Clayton,eng ENG,Middlesbrough,Premier League,2016-2017,2017-2018,MF,MF,27.0,False,32.0,2804.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0641940085592011,0.0641940085592011,0.0,0,2016,2017,15788,adam clayton,middlesbrough,73067.0,exact_normalized_unique,A,2017-08-04,2017-08-03,duckdb_big5_first_game,no_summer_event,0,0,,Middlesbrough,Premier League,England,0,0,0,,,,,,,,,,,,,,,0,middlesbrough,0,1,0,0,0,0,,,,,0,0,,,3000000.0,2017-06-28,3000000.0,2500000.0,2016-08-01,2500000.0,2500000.0,2016-08-01,2500000.0,3000000.0,historical_valuation,1,14.914123179965662,2500000.0,2500000.0,500000.0,500000.0,0.1999999999999999,0.1999999999999999,3000000.0,1.0,36.0,0.3340380549682875,0.75,Middlesbrough,0.0526315789473684,0.7368421052631579,-0.6842105263157895,Middlesbrough,1.0,,,same_team_copy_old,Premier League,0.0526315789473684,0.7368421052631579,-0.6842105263157895,0,0.0,0.0,0.0,adam clayton,middlesbrough,STABLE_BIG5_REVIEW
Adam Forshaw,eng ENG,Middlesbrough,Premier League,2016-2017,2017-2018,MF,MF,24.0,False,30.0,2695.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0333951762523191,0.0333951762523191,0.0,0,2016,2017,15789,adam forshaw,middlesbrough,121257.0,exact_normalized_unique,A,2017-08-04,2017-08-03,duckdb_big5_first_game,no_summer_event,0,0,,Middlesbrough,Premier League,England,0,0,0,,,,,,,,,,,,,,,0,middlesbrough,0,1,0,0,0,0,,,,,0,0,,,3000000.0,2017-06-28,3000000.0,2250000.0,2016-08-01,2500000.0,2250000.0,2016-08-01,2500000.0,3000000.0,historical_valuation,1,14.914123179965662,2250000.0,2250000.0,750000.0,750000.0,0.3333333333333332,0.3333333333333332,3000000.0,1.0,36.0,0.3340380549682875,0.75,Middlesbrough,0.0526315789473684,0.7368421052631579,-0.6842105263157895,Middlesbrough,1.0,,,same_team_copy_old,Premier League,0.0526315789473684,0.7368421052631579,-0.6842105263157895,0,0.0,0.0,0.0,adam forshaw,middlesbrough,STABLE_BIG5_REVIEW
Adama Diomande,no NOR,Hull City,Premier League,2016-2017,2017-2018,"FW,MF",FW,26.0,False,13.0,1171.0,2.0,0.0,2.0,0.0,0.0,0.1537147736976943,0.0,0.1537147736976943,0.0,0,2016,2017,15794,adama diomande,hull city,93145.0,exact_normalized_unique,A,2017-08-04,2017-08-03,duckdb_big5_first_game,no_summer_event,0,0,,Hull City,Premier League,England,0,0,0,,,,,,,,,,,,,,,0,hull city,0,1,0,0,0,0,,,,,0,0,,,1500000.0,2017-06-28,1500000.0,1500000.0,2016-08-01,1500000.0,1500000.0,2016-08-01,1500000.0,1500000.0,historical_valuation,1,14.220976332738882,1500000.0,1500000.0,0.0,0.0,0.0,0.0,1500000.0,1.0,36.0,0.1289640591966173,0.2142857142857142,Hull,0.1052631578947368,0.8947368421052632,-1.131578947368421,Hull,1.0,,,same_team_copy_old,Premier League,0.1052631578947368,0.8947368421052632,-1.131578947368421,0,0.0,0.0,0.0,adama diomande,hull city,STABLE_BIG5_REVIEW
Adama Traoré,es ESP,Middlesbrough,Premier League,2016-2017,2017-2018,"MF,FW",FW,20.0,False,16.0,1541.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0584036340038935,0.0584036340038935,0.0,0,2016,2017,15795,adama traore,middlesbrough,204103.0,exact_name_age_resolved,B,2017-08-04,2017-08-03,duckdb_big5_first_game,no_summer_event,0,0,,Middlesbrough,Premier League,England,0,0,0,,,,,,,,,,,,,,,0,middlesbrough,0,1,0,0,0,0,,,,,0,0,,,8000000.0,2017-06-28,8000000.0,7000000.0,2016-09-01,8000000.0,8000000.0,2016-02-09,8000000.0,8000000.0,historical_valuation,1,15.894952224644102,7000000.0,8000000.0,1000000.0,0.0,0.1428571428571428,0.0,8000000.0,1.0,36.0,0.638477801268499,1.1428571428571428,Middlesbrough,0.0526315789473684,0.7368421052631579,-0.6842105263157895,Middlesbrough,1.0,,,same_team_copy_old,Premier League,0.0526315789473684,0.7368421052631579,-0.6842105263157895,0,0.0,0.0,0.0,adama traore,middlesbrough,STABLE_BIG5_REVIEW
Adrián Ramos,co COL,Granada,La Liga,2016-2017,2017-2018,FW,FW,30.0,False,17.0,1485.0,6.0,1.0,6.0,0.0,0.0,0.3636363636363636,0.0606060606060606,0.4242424242424242,0.0,0,2016,2017,15800,adrian ramos,granada,73782.0,exact_normalized_unique,A,2017-08-04,2017-08-03,duckdb_big5_first_game,no_confirmed_pre_cutoff_event,0,0,,Granada,La Liga,Spain,0,0,1,,,,,,,,,,,,,,,0,granada,0,1,0,0,0,0,,,,,0,0,,,5000000.0,2017-06-05,13000000.0,5000000.0,2017-01-24,13000000.0,6000000.0,2016-07-22,13000000.0,5000000.0,historical_valuation,1,15.424948670398354,5000000.0,6000000.0,0.0,-1000000.0,0.0,-0.1666666666666666,13000000.0,0.3846153846153846,59.0,0.5021141649048626,0.7142857142857143,Granada,0.0,0.5263157894736842,-1.368421052631579,Granada,1.0,,,same_team_copy_old,La Liga,0.0,0.5263157894736842,-1.368421052631579,0,0.0,0.0,0.0,adrian ramos,granada,STABLE_BIG5_REVIEW
Ahmed Elmohamady,eg EGY,Hull City,Premier League,2016-2017,2017-2018,"DF,MF",MF,28.0,False,28.0,2524.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0713153724247226,0.0713153724247226,0.0,0,2016,2017,15807,ahmed elmohamady,hull city,66333.0,exact_normalized_unique,A,2017-08-04,2017-08-03,duckdb_big5_first_game,no_summer_event,0,0,,Hull City,Premier League,England,0,0,0,,,,,,,,,,,,,,,0,hull city,0,1,0,0,0,0,,,,,0,0,,,4000000.0,2017-06-28,5500000.0,4000000.0,2016-08-01,5500000.0,4000000.0,2016-08-01,5500000.0,4000000.0,historical_valuation,1,15.201805169084134,4000000.0,4000000.0,0.0,0.0,0.0,0.0,5500000.0,0.7272727272727273,36.0,0.4307610993657505,1.0,Hull,0.1052631578947368,0.8947368421052632,-1.131578947368421,Hull,1.0,,,same_team_copy_old,Premier League,0.1052631578947368,0.8947368421052632,-1.131578947368421,0,0.0,0.0,0.0,ahmed elmohamady,hull city,STABLE_BIG5_REVIEW
Aitor Buñuel,es ESP,Osasuna,La Liga,2016-2017,2017-2018,"DF,MF",MF,18.0,False,10.0,1030.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2016,2017,15808,aitor bunuel,osasuna,374081.0,exact_normalized_unique,A,2017-08-04,2017-08-03,duckdb_big5_first_game,no_summer_event,0,0,,Osasuna,La Liga,Spain,0,0,0,,,,,,,,,,,,,,,0,osasuna,0,1,0,0,0,0,,,,,0,0,,,600000.0,2017-06-05,600000.0,300000.0,2017-01-24,300000.0,300000.0,2016-08-01,300000.0,600000.0,historical_valuation,1,13.304686600863562,300000.0,300000.0,300000.0,300000.0,1.0,1.0,600000.0,1.0,59.0,0.0301268498942917,0.15,Osasuna,0.0526315789473684,0.5789473684210527,-1.4210526315789471,Osasuna,1.0,,,same_team_copy_old,La Liga,0.0526315789473684,0.5789473684210527,-1.4210526315789471,0,0.0,0.0,0.0,aitor bunuel,osasuna,STABLE_BIG5_REVIEW
