player,nation,team,league,season,target_season,position,position_group,age,matched_next,starts,minutes,goals,assists,non_penalty_goals,penalty_goals,penalty_attempts,goals_per90,assists_per90,goal_contrib_per90,next_goals,next_10plus,season_start,target_year,row_id,norm_player,norm_current_team,tm_player_id,match_method,match_confidence,first_big5_game_date,cutoff_date,cutoff_source,timeline_status,confirmed_preseason_event_count,preseason_team_transition_count,selected_event_id,destination_team,destination_league,destination_country,unknown_date_context_event_count_audit,post_cutoff_context_event_count_audit,context_mismatch_pre_event_count_audit,timeline_trace,tr_event_id,tr_transfer_date,tr_from_club,tr_to_club,tr_from_league,tr_to_league,tr_from_country,tr_to_country,tr_transfer_fee_eur,tr_transfer_market_value_eur,tr_is_loan,tr_db_date_match_method,tr_db_match_score,transfer_event_preseason,norm_destination_team,changed_team_preseason,destination_in_big5,same_league_transfer,league_changed,country_changed,is_loan_preseason,transfer_date_preseason,days_since_transfer,transfer_fee_eur,transfer_market_value_eur,transfer_fee_known,transfer_fee_positive,log_transfer_fee,fee_to_transfer_market_value_ratio,mv_preseason_value_eur,mv_preseason_valuation_date,mv_preseason_peak_eur,mv_6m_value_eur,mv_6m_valuation_date,mv_6m_peak_eur,mv_12m_value_eur,mv_12m_valuation_date,mv_12m_peak_eur,market_value_preseason_eur,market_value_source,market_value_known,log_market_value,market_value_6m_eur,market_value_12m_eur,market_value_change_6m_eur,market_value_change_12m_eur,market_value_growth_6m,market_value_growth_12m,market_value_peak_to_cutoff_eur,market_value_vs_peak,valuation_age_days,market_value_percentile,market_value_vs_position_median,old_team_stats_name,old_team_rank_pct,old_team_points_per_game,old_team_goal_diff_per_game,new_team_stats_name,new_team_match_score,new_team_second_score,new_team_match_margin,new_team_match_method,new_team_strength_league,new_team_prev_rank_pct,new_team_prev_points_per_game,new_team_prev_goal_diff_per_game,new_team_strength_missing,team_rank_change,team_points_change,team_goal_diff_change,audit_norm_player,audit_norm_team,audit_status,review_priority_score
Rúben Neves,pt POR,Wolves,Premier League,2022-2023,2023-2024,MF,MF,25.0,False,33.0,3019.0,6.0,1.0,3.0,3.0,3.0,0.1788671745611129,0.0298111957601854,0.2086783703212984,0.0,0,2022,2023,22281,ruben neves,wolves,225161.0,exact_normalized_unique,A,2023-08-11,2023-08-10,duckdb_big5_first_game,no_confirmed_pre_cutoff_event,0,0,,Wolves,Premier League,England,0,0,1,,,,,,,,,,,,,,,0,wolves,0,1,0,0,0,0,,,,,0,0,,,40000000.0,2023-06-20,50000000.0,40000000.0,2022-11-03,50000000.0,40000000.0,2022-06-15,50000000.0,40000000.0,historical_valuation,1,17.50439003707821,40000000.0,40000000.0,0.0,0.0,0.0,0.0,50000000.0,0.8,51.0,0.9010238907849828,5.0,Wolves,0.368421052631579,1.0789473684210529,-0.7105263157894737,Wolves,1.0,,,same_team_copy_old,Premier League,0.368421052631579,1.0789473684210529,-0.7105263157894737,0,0.0,0.0,0.0,ruben neves,wolves,STABLE_BIG5_REVIEW,0.9909090909090909
Aleksandar Mitrović,rs SRB,Fulham,Premier League,2018-2019,2019-2020,FW,FW,23.0,False,37.0,3280.0,11.0,3.0,10.0,1.0,1.0,0.3018292682926829,0.0823170731707317,0.3841463414634146,0.0,0,2018,2019,17754,aleksandar mitrovic,fulham,51152.0,exact_normalized_unique,A,2019-08-09,2019-08-08,duckdb_big5_first_game,no_summer_event,0,0,,Fulham,Premier League,England,0,0,0,,,,,,,,,,,,,,,0,fulham,0,1,0,0,0,0,,,,,0,0,,,25000000.0,2019-06-13,25000000.0,25000000.0,2018-12-19,25000000.0,15000000.0,2018-06-06,15000000.0,25000000.0,historical_valuation,1,17.034386422832473,25000000.0,15000000.0,0.0,10000000.0,0.0,0.6666666666666667,25000000.0,1.0,56.0,0.7864238410596026,2.5,Fulham,0.0526315789473684,0.6842105263157895,-1.236842105263158,Fulham,1.0,,,same_team_copy_old,Premier League,0.0526315789473684,0.6842105263157895,-1.236842105263158,0,0.0,0.0,0.0,aleksandar mitrovic,fulham,STABLE_BIG5_REVIEW,0.9901913875598085
Rodri,es ESP,Manchester City,Premier League,2021-2022,2022-2023,MF,MF,25.0,False,33.0,2884.0,7.0,2.0,7.0,0.0,0.0,0.2184466019417475,0.0624133148404993,0.2808599167822468,0.0,0,2021,2022,21316,rodri,manchester city,357565.0,exact_name_age_resolved,B,2022-08-05,2022-08-04,duckdb_big5_first_game,no_summer_event,0,0,,Manchester City,Premier League,England,0,0,0,,,,,,,,,,,,,,,0,manchester city,0,1,0,0,0,0,,,,,0,0,,,80000000.0,2022-06-15,80000000.0,70000000.0,2021-12-23,80000000.0,70000000.0,2021-05-31,80000000.0,80000000.0,historical_valuation,1,18.197537205138158,70000000.0,70000000.0,10000000.0,10000000.0,0.1428571428571428,0.1428571428571428,80000000.0,1.0,50.0,0.9867052023121388,9.411764705882351,Man City,1.0,2.4473684210526314,1.921052631578948,Man City,1.0,,,same_team_copy_old,Premier League,1.0,2.4473684210526314,1.921052631578948,0,0.0,0.0,0.0,rodri,manchester city,STABLE_BIG5_REVIEW,0.9870813397129187
Allan,br BRA,Napoli,Serie A,2017-2018,2018-2019,MF,MF,26.0,False,32.0,2850.0,4.0,5.0,4.0,0.0,0.0,0.1263157894736842,0.1578947368421052,0.2842105263157894,0.0,0,2017,2018,16816,allan,napoli,126422.0,exact_name_age_resolved,B,2018-08-10,2018-08-09,duckdb_big5_first_game,no_summer_event,0,0,,Napoli,Serie A,Italy,0,0,0,,,,,,,,,,,,,,,0,napoli,0,1,0,0,0,0,,,,,0,0,,,33000000.0,2018-06-07,33000000.0,20000000.0,2017-12-29,20000000.0,16000000.0,2017-06-08,17000000.0,33000000.0,historical_valuation,1,17.312018149733785,20000000.0,16000000.0,13000000.0,17000000.0,0.6499999999999999,1.0625,33000000.0,1.0,63.0,0.8896247240618101,5.5,Napoli,0.9473684210526316,2.394736842105264,1.263157894736842,Napoli,1.0,,,same_team_copy_old,Serie A,0.9473684210526316,2.394736842105264,1.263157894736842,0,0.0,0.0,0.0,allan,napoli,STABLE_BIG5_REVIEW,0.9811004784688995
Joe Allen,wls WAL,Stoke City,Premier League,2017-2018,2018-2019,MF,MF,27.0,False,36.0,3139.0,2.0,6.0,2.0,0.0,0.0,0.0573431028990124,0.1720293086970372,0.2293724115960497,0.0,0,2017,2018,17197,joe allen,stoke city,51452.0,exact_normalized_unique,A,2018-08-10,2018-08-09,duckdb_big5_first_game,no_summer_event,0,0,,Stoke City,Premier League,England,0,0,0,,,,,,,,,,,,,,,0,stoke city,0,1,0,0,0,0,,,,,0,0,,,18000000.0,2018-05-28,18000000.0,18000000.0,2018-01-02,18000000.0,15000000.0,2017-06-28,15000000.0,18000000.0,historical_valuation,1,16.705882371415992,18000000.0,15000000.0,0.0,3000000.0,0.0,0.1999999999999999,18000000.0,1.0,73.0,0.7632450331125827,3.0,Stoke,0.0526315789473684,0.868421052631579,-0.868421052631579,Stoke,1.0,,,same_team_copy_old,Premier League,0.0526315789473684,0.868421052631579,-0.868421052631579,0,0.0,0.0,0.0,joe allen,stoke city,STABLE_BIG5_REVIEW,0.9758373205741626
Jefferson Lerma,co COL,Bournemouth,Premier League,2019-2020,2020-2021,MF,MF,24.0,False,31.0,2703.0,1.0,2.0,1.0,0.0,0.0,0.0332963374028856,0.0665926748057713,0.099889012208657,0.0,0,2019,2020,19074,jefferson lerma,bournemouth,262980.0,exact_normalized_unique,A,2020-08-21,2020-08-20,duckdb_big5_first_game,no_summer_event,0,0,,Bournemouth,Premier League,England,0,0,0,,,,,,,,,,,,,,,0,bournemouth,0,1,0,0,0,0,,,,,0,0,,,20000000.0,2020-04-08,25000000.0,25000000.0,2019-12-10,25000000.0,25000000.0,2019-06-13,25000000.0,20000000.0,historical_valuation,1,16.811242881518265,25000000.0,25000000.0,-5000000.0,-5000000.0,-0.1999999999999999,-0.1999999999999999,25000000.0,0.8,134.0,0.7395833333333334,2.6666666666666665,Bournemouth,0.1052631578947368,0.8947368421052632,-0.6578947368421053,Bournemouth,1.0,,,same_team_copy_old,Premier League,0.1052631578947368,0.8947368421052632,-0.6578947368421053,0,0.0,0.0,0.0,jefferson lerma,bournemouth,STABLE_BIG5_REVIEW,0.9622009569377992
Rodrigo,es ESP,Valencia,La Liga,2018-2019,2019-2020,FW,FW,27.0,False,29.0,2528.0,8.0,6.0,8.0,0.0,1.0,0.2848101265822785,0.2136075949367088,0.4984177215189873,0.0,0,2018,2019,18513,rodrigo,valencia,131505.0,exact_normalized_unique,A,2019-08-09,2019-08-08,duckdb_big5_first_game,no_summer_event,0,0,,Valencia,La Liga,Spain,0,0,0,,,,,,,,,,,,,,,0,valencia,0,1,0,0,0,0,,,,,0,0,,,50000000.0,2019-06-11,50000000.0,30000000.0,2018-12-21,50000000.0,50000000.0,2018-07-15,50000000.0,50000000.0,historical_valuation,1,17.72753358339242,30000000.0,50000000.0,20000000.0,0.0,0.6666666666666667,0.0,50000000.0,1.0,58.0,0.9238410596026492,5.0,Valencia,0.8421052631578947,1.605263157894737,0.4210526315789473,Valencia,1.0,,,same_team_copy_old,La Liga,0.8421052631578947,1.605263157894737,0.4210526315789473,0,0.0,0.0,0.0,rodrigo,valencia,STABLE_BIG5_REVIEW,0.9601674641148326
Gustavo Hamer,NED,Sheffield Utd,Premier League,2023-2024,2024-2025,MF,MF,26.0,False,34.0,2910.0,4.0,6.0,4.0,0.0,0.0,0.1237113402061855,0.1855670103092783,0.3092783505154639,0.0,0,2023,2024,22753,gustavo hamer,sheffield utd,322985.0,exact_normalized_unique,A,2024-08-15,2024-08-14,duckdb_big5_first_game,no_summer_event,0,0,,Sheffield Utd,Premier League,England,0,0,0,,,,,,,,,,,,,,,0,sheffield utd,0,1,0,0,0,0,,,,,0,0,,,15000000.0,2024-05-27,16000000.0,16000000.0,2023-12-19,16000000.0,8000000.0,2023-06-01,8000000.0,15000000.0,historical_valuation,1,16.52356082573315,16000000.0,8000000.0,-1000000.0,7000000.0,-0.0625,0.875,16000000.0,0.9375,79.0,0.6334106728538283,1.875,Sheffield United,0.0,0.4210526315789473,-1.8157894736842104,Sheffield United,1.0,,,same_team_copy_old,Premier League,0.0,0.4210526315789473,-1.8157894736842104,0,0.0,0.0,0.0,gustavo hamer,sheffield utd,STABLE_BIG5_REVIEW,0.9593301435406698
Houssem Aouar,fr FRA,Lyon,Ligue 1,2021-2022,2022-2023,"MF,FW",FW,23.0,False,29.0,2504.0,6.0,4.0,6.0,0.0,0.0,0.2156549520766773,0.1437699680511182,0.3594249201277955,0.0,0,2021,2022,20882,houssem aouar,lyon,395693.0,exact_normalized_unique,A,2022-08-05,2022-08-04,duckdb_big5_first_game,no_summer_event,0,0,,Lyon,Ligue 1,France,0,0,0,,,,,,,,,,,,,,,0,lyon,0,1,0,0,0,0,,,,,0,0,,,25000000.0,2022-05-30,55000000.0,32000000.0,2021-12-16,55000000.0,42000000.0,2021-06-04,55000000.0,25000000.0,historical_valuation,1,17.034386422832473,32000000.0,42000000.0,-7000000.0,-17000000.0,-0.21875,-0.4047619047619047,55000000.0,0.4545454545454545,66.0,0.8196531791907514,2.1739130434782608,Lyon,0.6842105263157895,1.631578947368421,0.3947368421052631,Lyon,1.0,,,same_team_copy_old,Ligue 1,0.6842105263157895,1.631578947368421,0.3947368421052631,0,0.0,0.0,0.0,houssem aouar,lyon,STABLE_BIG5_REVIEW,0.95
Carlton Morris,ENG,Luton Town,Premier League,2023-2024,2024-2025,"FW,MF",FW,27.0,False,32.0,2862.0,11.0,4.0,6.0,5.0,5.0,0.3459119496855345,0.1257861635220125,0.4716981132075472,0.0,0,2023,2024,22580,carlton morris,luton town,246963.0,exact_normalized_unique,A,2024-08-15,2024-08-14,duckdb_big5_first_game,no_summer_event,0,0,,Luton Town,Premier League,England,0,0,0,,,,,,,,,,,,,,,0,luton town,0,1,0,0,0,0,,,,,0,0,,,13000000.0,2024-05-27,13000000.0,13000000.0,2023-12-19,13000000.0,6000000.0,2023-06-01,6000000.0,13000000.0,historical_valuation,1,16.380459992348886,13000000.0,6000000.0,0.0,7000000.0,0.0,1.1666666666666663,13000000.0,1.0,79.0,0.6020881670533643,1.0833333333333333,Luton,0.1052631578947368,0.6842105263157895,-0.868421052631579,Luton,1.0,,,same_team_copy_old,Premier League,0.1052631578947368,0.6842105263157895,-0.868421052631579,0,0.0,0.0,0.0,carlton morris,luton town,STABLE_BIG5_REVIEW,0.9488038277511962
