model,bin,predicted_probability,observed_rate
CatBoost_ModelA,1,0.23184304327779778,0.15691489361702127
CatBoost_ModelA,2,0.6098748687584064,0.552
CatBoost_ModelA,3,0.8403581472235955,0.8590425531914894
CatBoost_ModelA,4,0.9124992645022029,0.9173333333333333
CatBoost_ModelA,5,0.9396709699518201,0.9388297872340425
CatBoost_ModelA,6,0.9546870021331344,0.9813333333333333
CatBoost_ModelA,7,0.9660823094775369,0.9813333333333333
CatBoost_ModelA,8,0.9752186323182548,0.9627659574468085
CatBoost_ModelA,9,0.9835616037706809,0.9786666666666667
CatBoost_ModelA,10,0.9915900080332621,0.9787234042553191
Logistic_ModelA,1,0.29961656274345366,0.20212765957446807
Logistic_ModelA,2,0.6171589928233393,0.5866666666666667
Logistic_ModelA,3,0.7811008579992418,0.8191489361702128
Logistic_ModelA,4,0.8795105858680626,0.9146666666666666
Logistic_ModelA,5,0.937547978098039,0.9468085106382979
Logistic_ModelA,6,0.9698927944358199,0.944
Logistic_ModelA,7,0.9862389942848828,0.952
Logistic_ModelA,8,0.9937251905437186,0.973404255319149
Logistic_ModelA,9,0.9972026603709223,0.984
Logistic_ModelA,10,0.9994544080355247,0.9840425531914894
Naive_Prevalence,1,0.8425327116859743,0.8331527627302275
Naive_Prevalence,2,0.8516897215899071,0.7867803837953091
Naive_Prevalence,3,0.8519779931883703,0.86875
Naive_Prevalence,4,0.8553485451119855,0.8329764453961456
