model,fold,outer_val_season,train_n,val_n,train_presence_rate,val_presence_rate,selected_rounds,fit_seconds,log_loss,brier,roc_auc,pr_auc_presence,pr_auc_exit,threshold,accuracy,balanced_accuracy,macro_f1,exit_precision,exit_recall,exit_f1,presence_precision,presence_recall,presence_f1,tn,fp,fn,tp
Naive_Prevalence,1,2020-2021,3817,960,0.8519779931883679,0.86875,,0.0,0.38990829788969383,0.11430473771248943,0.5,0.86875,0.13125,0.5,0.86875,0.5,0.46488294314381273,0.0,0.0,0.0,0.86875,1.0,0.9297658862876255,0,126,0,834
Logistic_ModelA,1,2020-2021,3817,960,0.8519779931883679,0.86875,,0.06962996799995835,0.22565385597345802,0.06619949231868226,0.9192836207224696,0.9846787667036796,0.7084659217458945,0.59,0.9072916666666667,0.7916809409615164,0.7946543805383113,0.6504065040650406,0.6349206349206349,0.642570281124498,0.945041816009558,0.9484412470023981,0.9467384799521245,80,46,43,791
CatBoost_ModelA,1,2020-2021,3817,960,0.8519779931883679,0.86875,178.0,1.717816485999947,0.19852100107736048,0.056587941798901815,0.9408758707319859,0.9893520182382578,0.7551581983998534,0.66,0.9197916666666667,0.8494061893342468,0.8325142573597885,0.6737588652482269,0.753968253968254,0.7116104868913857,0.9621489621489622,0.9448441247002398,0.9534180278281912,95,31,46,788
Naive_Prevalence,2,2021-2022,4777,934,0.855348545111995,0.8329764453961456,,0.0,0.4530774847480946,0.13962719765704354,0.5,0.8329764453961456,0.1670235546038544,0.5,0.8329764453961456,0.5,0.4544392523364486,0.0,0.0,0.0,0.8329764453961456,1.0,0.9088785046728972,0,156,0,778
Logistic_ModelA,2,2021-2022,4777,934,0.855348545111995,0.8329764453961456,,0.09938919600000418,0.32956356347672516,0.09100258557359467,0.8579609122668249,0.9605960937657978,0.6548391060140608,0.56,0.8758029978586723,0.7127661327532793,0.7425113838373276,0.6886792452830188,0.46794871794871795,0.5572519083969466,0.8997584541062802,0.9575835475578406,0.9277708592777086,73,83,33,745
CatBoost_ModelA,2,2021-2022,4777,934,0.855348545111995,0.8329764453961456,264.0,3.613523646000033,0.29096054961547446,0.08123027586286907,0.8656977127414146,0.9580717402298626,0.7024745028013333,0.57,0.8940042826552462,0.7698157669237361,0.7926524900941143,0.728,0.5833333333333334,0.6476868327402135,0.9196538936959209,0.9562982005141388,0.9376181474480151,91,65,34,744
Naive_Prevalence,3,2022-2023,5711,938,0.8516897215899142,0.7867803837953091,,0.0,0.533222915913092,0.17197023360314936,0.5,0.7867803837953091,0.21321961620469082,0.5,0.7867803837953091,0.5,0.4403341288782816,0.0,0.0,0.0,0.7867803837953091,1.0,0.8806682577565632,0,200,0,738
Logistic_ModelA,3,2022-2023,5711,938,0.8516897215899142,0.7867803837953091,,0.22592119899996987,0.3838131436430534,0.10336399300231192,0.8646985094850947,0.9437335204913868,0.7377671125390375,0.61,0.8784648187633263,0.7623848238482385,0.7942998284100615,0.8115942028985508,0.56,0.6627218934911243,0.89,0.964769647696477,0.9258777633289987,112,88,26,712
CatBoost_ModelA,3,2022-2023,5711,938,0.8516897215899142,0.7867803837953091,123.0,1.271558902000038,0.33377521600548254,0.09854630627559557,0.8821544715447156,0.9583279430544174,0.7457858987226966,0.71,0.8752665245202559,0.7822222222222222,0.8010099453324026,0.7515151515151515,0.62,0.6794520547945205,0.9016817593790427,0.9444444444444444,0.9225678358702846,124,76,41,697
Naive_Prevalence,4,2023-2024,6649,923,0.8425327116859678,0.8331527627302275,,0.0,0.45117810014060866,0.139097220127629,0.5,0.8331527627302275,0.1668472372697725,0.5,0.8331527627302275,0.5,0.45449172576832153,0.0,0.0,0.0,0.8331527627302275,1.0,0.9089834515366431,0,154,0,769
Logistic_ModelA,4,2023-2024,6649,923,0.8425327116859678,0.8331527627302275,,0.18689410499996484,0.2447769002392796,0.07256887632478894,0.927059936162667,0.9828337574210746,0.7620078560460413,0.6,0.9089924160346695,0.8181522638609764,0.830081001472754,0.75,0.6818181818181818,0.7142857142857143,0.9374201787994891,0.9544863459037711,0.9458762886597938,105,49,35,734
CatBoost_ModelA,4,2023-2024,6649,923,0.8425327116859678,0.8331527627302275,75.0,1.1292114489999676,0.2069683704398674,0.05515962082793115,0.9541316940536706,0.9883377575494832,0.8596957881272564,0.78,0.9122426868905742,0.8979995946835999,0.8575250836120402,0.6852791878172588,0.8766233766233766,0.7692307692307693,0.9738292011019284,0.9193758127438232,0.945819397993311,135,19,62,707
