threshold,accuracy,balanced_accuracy,macro_f1,exit_precision,exit_recall,exit_f1,presence_precision,presence_recall,presence_f1,tn,fp,fn,tp,model,fold,outer_val_season
0.2,0.8665207877461707,0.5192067520747724,0.5019118067467124,0.8333333333333334,0.03968253968253968,0.07575757575757576,0.8667400881057269,0.998730964467005,0.9280660377358491,5,121,1,787,Logistic_ModelA,1,2020-2021
0.21,0.8676148796498906,0.5231750060430264,0.5094195666156542,0.8571428571428571,0.047619047619047616,0.09022556390977443,0.8676957001102535,0.998730964467005,0.9286135693215339,6,120,1,787,Logistic_ModelA,1,2020-2021
0.22,0.8698030634573304,0.5311115139795343,0.5241145457329746,0.8888888888888888,0.06349206349206349,0.11851851851851852,0.8696132596685083,0.998730964467005,0.9297105729474306,8,118,1,787,Logistic_ModelA,1,2020-2021
0.23,0.8719912472647703,0.5390480219160422,0.5383977864780051,0.9090909090909091,0.07936507936507936,0.145985401459854,0.8715393133997785,0.998730964467005,0.9308101714961561,10,116,1,787,Logistic_ModelA,1,2020-2021
0.24,0.8741794310722101,0.5469845298525502,0.552287122344753,0.9230769230769231,0.09523809523809523,0.17266187050359713,0.8734739178690344,0.998730964467005,0.9319123741859088,12,114,1,787,Logistic_ModelA,1,2020-2021
0.25,0.8774617067833698,0.5588892917573121,0.5724190934456084,0.9375,0.11904761904761904,0.2112676056338028,0.876391982182628,0.998730964467005,0.933570581257414,15,111,1,787,Logistic_ModelA,1,2020-2021
0.26,0.8774617067833698,0.5588892917573121,0.5724190934456084,0.9375,0.11904761904761904,0.2112676056338028,0.876391982182628,0.998730964467005,0.933570581257414,15,111,1,787,Logistic_ModelA,1,2020-2021
0.27,0.8774617067833698,0.5588892917573121,0.5724190934456084,0.9375,0.11904761904761904,0.2112676056338028,0.876391982182628,0.998730964467005,0.933570581257414,15,111,1,787,Logistic_ModelA,1,2020-2021
0.28,0.8785557986870897,0.5695250181290791,0.5894329177239009,0.8571428571428571,0.14285714285714285,0.24489795918367346,0.8790593505039194,0.9961928934010152,0.9339678762641285,18,108,3,785,Logistic_ModelA,1,2020-2021
0.29,0.8807439824945296,0.577461526065587,0.6017683904209521,0.8695652173913043,0.15873015873015872,0.2684563758389262,0.8810325476992144,0.9961928934010152,0.935080405002978,20,106,3,785,Logistic_ModelA,1,2020-2021
0.3,0.8807439824945296,0.577461526065587,0.6017683904209521,0.8695652173913043,0.15873015873015872,0.2684563758389262,0.8810325476992144,0.9961928934010152,0.935080405002978,20,106,3,785,Logistic_ModelA,1,2020-2021
