threshold,method,n,mae,bias,actual_mean,pred_mean
10,Current_Goals_Naive,336,5.601190476190476,-3.357142857142857,14.425595238095237,11.068452380952381
10,Conditional_No_Gate,336,6.417733566945293,-5.970665785923272,14.425595238095237,8.454929452171966
10,TwoStage_Soft,336,6.59649814033661,-6.197107073420782,14.425595238095237,8.228488164674456
10,TwoStage_Hard,336,6.449942459434691,-6.002874678412671,14.425595238095237,8.422720559682567
10,Direct_Regression,336,6.5537157967371185,-6.112908987512268,14.425595238095237,8.312686250582969
15,Current_Goals_Naive,126,7.103174603174603,-4.722222222222222,19.452380952380953,14.73015873015873
15,Conditional_No_Gate,126,8.634889976517133,-8.291640047336124,19.452380952380953,11.160740905044829
15,TwoStage_Soft,126,8.796310968913472,-8.51199808676451,19.452380952380953,10.940382865616444
15,TwoStage_Hard,126,8.634889976517133,-8.291640047336124,19.452380952380953,11.160740905044829
15,Direct_Regression,126,8.833344333687235,-8.455767674504516,19.452380952380953,10.996613277876436
20,Current_Goals_Naive,47,8.27659574468085,-5.76595744680851,24.595744680851062,18.829787234042552
20,Conditional_No_Gate,47,10.713006517818805,-10.416897010609492,24.595744680851062,14.178847670241572
20,TwoStage_Soft,47,10.912010450687351,-10.637592106413742,24.595744680851062,13.958152574437321
20,TwoStage_Hard,47,10.713006517818805,-10.416897010609492,24.595744680851062,14.178847670241572
20,Direct_Regression,47,11.040104500901954,-10.546412040631754,24.595744680851062,14.04933264021931
