method,fold,outer_val_season,n,mae,rmse,r2,bias,exit_n,exit_mae,exit_pred_mean,presence_n,presence_mae,10plus_n,10plus_mae,10plus_bias,15plus_n,15plus_mae,15plus_bias,20plus_n,20plus_mae,20plus_bias
Current_Goals_Naive,1,2020-2021,960,2.535416666666667,3.80542376089707,0.29575523500893164,0.8729166666666667,126,1.9126984126984128,1.9126984126984128,834,2.629496402877698,92,5.032608695652174,-2.7282608695652173,31,6.548387096774194,-4.548387096774194,13,6.384615384615385,-4.6923076923076925
Conditional_No_Gate,1,2020-2021,960,2.27173830015807,3.2555363845232113,0.48457831884486946,0.30032809084866635,126,1.8450237655002883,1.8450237655002883,834,2.336205963667519,92,5.89035121569944,-5.318251460036337,31,8.214657676703874,-7.638066691774633,13,9.101311990408108,-9.101311990408108
TwoStage_Soft,1,2020-2021,960,2.105502418534326,3.1483850940828764,0.5179486856246027,-0.01425918347691787,126,0.9686360826474684,0.9686360826474684,834,2.2772592030927723,92,6.097783964091163,-5.612897714533501,31,8.420265251133513,-7.957114823424783,13,9.363918478186593,-9.363918478186593
TwoStage_Hard,1,2020-2021,960,2.0751066674977574,3.178185630427292,0.5087799378861211,0.05266871025198488,126,0.6418912432045473,0.6418912432045473,834,2.291635616491696,92,5.930854339317183,-5.358754583654079,31,8.214657676703874,-7.638066691774633,13,9.101311990408108,-9.101311990408108
Direct_Regression,1,2020-2021,960,2.131885853001839,3.1882984745422887,0.5056488839554487,0.009008002974126347,126,1.0729675757459676,1.0729675757459676,834,2.2918663121556038,92,6.069573502616386,-5.6221900019229105,31,8.43473113470107,-7.962394405200367,13,9.464358943429279,-9.302608636549113
Current_Goals_Naive,2,2021-2022,934,2.84796573875803,4.2224037928826625,0.1067611822065635,1.0364025695931478,145,2.372413793103448,2.372413793103448,789,2.935361216730038,79,6.291139240506329,-3.5822784810126582,32,7.9375,-5.8125,10,10.1,-7.7
Conditional_No_Gate,2,2021-2022,934,2.4260941142961494,3.4670593227192805,0.3977585993765005,0.3688826262155128,145,2.115015612078464,2.115015612078464,789,2.4832631673019345,79,6.648716407799758,-5.997868195559033,32,8.858882774252109,-8.688793983612825,10,12.011159377542663,-12.011159377542663
TwoStage_Soft,2,2021-2022,934,2.253697400581051,3.3688232003607905,0.43140308276601513,0.08158941922777112,145,1.2307087992946015,1.2307087992946015,789,2.441699108041805,79,6.79283788872511,-6.201044418050349,32,8.976499923446951,-8.862804711169455,10,12.206955497045485,-12.206955497045485
TwoStage_Hard,2,2021-2022,934,2.2638461770890985,3.401271496900853,0.4203969510011727,0.14868011681015,145,1.0764122004274277,1.0764122004274277,789,2.482069151253791,79,6.648716407799758,-5.997868195559033,32,8.858882774252109,-8.688793983612825,10,12.011159377542663,-12.011159377542663
Direct_Regression,2,2021-2022,934,2.276932391873247,3.373334580554277,0.4298791830000861,0.08646382907860546,145,1.3740441726130892,1.3740441726130892,789,2.442862419493935,79,6.696813609335187,-6.139239625461017,32,8.944749475904771,-8.793915066379284,10,11.958059652682005,-11.914034872604407
Current_Goals_Naive,3,2022-2023,938,2.7878464818763327,4.04834852743357,0.16115245628865127,1.1865671641791045,191,2.9528795811518322,2.9528795811518322,747,2.745649263721553,78,5.5256410256410255,-3.8333333333333335,31,6.387096774193548,-3.6129032258064515,8,7.625,-4.875
Conditional_No_Gate,3,2022-2023,938,2.3819127783394114,3.384335857490263,0.4137617393298382,0.5014019154299679,191,2.644320044483692,2.644320044483692,747,2.3148180155100175,78,6.470764865654112,-6.299359475315937,31,8.162649516244734,-7.741033555269818,8,11.468329025040589,-10.586464976851062
TwoStage_Soft,3,2022-2023,938,2.1259750371166355,3.1711038507416136,0.48530709877835654,0.11134815233778239,191,1.4742382500351712,1.4742382500351712,747,2.2926172410424175,78,6.625611318375838,-6.475433382404623,31,8.319804547936753,-7.946963288603099,8,11.581250373548755,-10.752721858388236
TwoStage_Hard,3,2022-2023,938,2.059649363783937,3.176445612943467,0.4835716256525152,0.10430061694991181,191,1.0942205560463878,1.0942205560463878,747,2.306499299898893,78,6.470764865654112,-6.299359475315937,31,8.162649516244734,-7.741033555269818,8,11.468329025040589,-10.586464976851062
Direct_Regression,3,2022-2023,938,2.1762399796017426,3.2294013309749454,0.4662089494074989,0.16748469740417377,191,1.7628317660889243,1.7628317660889243,747,2.2819440877422354,78,6.512986623577908,-6.301900900993807,31,8.214940472819876,-7.761721996607596,8,11.569375994528912,-10.743776336106805
Current_Goals_Naive,4,2023-2024,923,2.835319609967497,4.074469303890061,0.20535058311216547,0.9653304442036836,154,2.9545454545454546,2.9545454545454546,769,2.811443433029909,87,5.64367816091954,-3.3908045977011496,32,7.5,-4.875,16,9.0,-5.875
Conditional_No_Gate,4,2023-2024,923,2.462078724278758,3.467082980394273,0.42461048905117216,0.30967899724937414,154,2.496264445200864,2.496264445200864,769,2.4552326891396103,87,6.718136907035267,-6.341183255437583,32,9.275480165115141,-9.061035338448846,16,10.83350153040169,-10.404611877069101
