variant,fold,outer_val_season,mae,rmse,r2,bias,exit_mae,presence_mae,changed_team_mae,10plus_mae,20plus_mae,a_roc_auc,a_macro_f1,a_exit_recall,threshold
FULL,1,2020-2021,2.0751066674977574,3.178185630427292,0.5087799378861211,0.05266871025198488,0.6418912432045473,2.291635616491696,2.1576264124020224,5.930854339317183,9.101311990408108,0.941237486201515,0.8443002780352178,0.753968253968254,0.62
FULL,2,2021-2022,2.2638461770890985,3.401271496900853,0.4203969510011727,0.14868011681015,1.0764122004274277,2.482069151253791,2.599983390294897,6.648716407799758,12.011159377542663,0.9077924915869061,0.8099081332594095,0.6206896551724138,0.59
FULL,3,2022-2023,2.059649363783937,3.176445612943467,0.4835716256525152,0.10430061694991181,1.0942205560463878,2.306499299898893,1.9184840254260929,6.470764865654112,11.468329025040589,0.8888678623744541,0.8060202205882353,0.6073298429319371,0.64
FULL,4,2023-2024,2.1080636083394637,3.2798159073021727,0.4850887219113287,-0.15745504958149004,0.43026255950585496,2.4440601772866364,2.4825697993318068,6.799698981789355,10.83350153040169,0.9561920524209211,0.8720614326901752,0.8571428571428571,0.76
NO_MARKET,1,2020-2021,2.082843461392984,3.1820780339508534,0.5075759820593826,0.043236280791234094,0.6269218255224442,2.3028028452295404,2.1273237387547144,5.993680852170636,9.04100826703094,0.9345761486049257,0.8320426523264486,0.7380952380952381,0.62
NO_MARKET,2,2021-2022,2.3020059609085726,3.452486155229673,0.4028107883472227,0.18362379699023001,1.1747292814874433,2.5091734114992743,2.7188078339510757,6.64135313629033,12.303186373963172,0.8971111402473668,0.7963031172456576,0.5724137931034483,0.54
NO_MARKET,3,2022-2023,2.070653336477976,3.2026849382026046,0.4750043764131372,0.04472152447617661,1.0116166468939634,2.3414378180181985,1.9176522968833063,6.529535773572728,11.789442996810351,0.8790134359427237,0.7984445732507769,0.6492146596858639,0.75
NO_MARKET,4,2023-2024,2.1110036658101614,3.2799922198487463,0.485033360414567,-0.12279533726626793,0.47448603138932177,2.43873281496596,2.4766915638257694,6.689974784772868,10.753568831609385,0.9439650076841235,0.8854554480019856,0.8311688311688312,0.73
NO_TRANSFER_CONTEXT,1,2020-2021,2.1177205877284497,3.226105557385798,0.4938552659465103,0.0306604313904059,0.8144985201830027,2.3146102526094166,2.6012597599796345,6.012098838591088,9.36636913543463,0.8985383122073769,0.8058572893009979,0.6825396825396826,0.69
NO_TRANSFER_CONTEXT,2,2021-2022,2.303727538083768,3.4054965684800425,0.4189560866856986,0.15158303183745336,1.281406061035598,2.491606643498197,2.852969349900859,6.606754202033704,11.815225563013882,0.8787815217866353,0.7633139671402434,0.5517241379310345,0.63
NO_TRANSFER_CONTEXT,3,2022-2023,2.1939336757333403,3.3268319320372184,0.4335142742285246,0.24088142165760812,1.760839104028139,2.3046713774678698,2.763205425659565,6.407059164185412,11.137565016155577,0.8268676801446624,0.7359727972221937,0.45549738219895286,0.64
NO_TRANSFER_CONTEXT,4,2023-2024,2.2295490640623035,3.4081417927046327,0.44400769837639176,-0.0836996668480333,1.1117544885859567,2.453398692961338,3.3034612926548803,6.8204642462203235,11.137906732193578,0.8934946717781568,0.7883301925358699,0.7012987012987013,0.76
NO_MODEL_A_CONTEXT,1,2020-2021,2.0815562248642934,3.1822797550266237,0.5075135477318431,0.05703493428518745,0.7140877447507751,2.2881521822915154,2.204268984146034,5.930854339317183,9.101311990408108,0.9387442427010773,0.8432821201690315,0.746031746031746,0.59
NO_MODEL_A_CONTEXT,2,2021-2022,2.2794558973382375,3.44170145061518,0.406535901026152,0.15191892523364434,1.1331527320581605,2.490119977142561,2.7173873949878904,6.703197598275184,12.441560782298529,0.904514662820681,0.8011682773173134,0.6068965517241379,0.56
NO_MODEL_A_CONTEXT,3,2022-2023,2.0667103201919885,3.1905344793947252,0.47898031379218964,0.09252944963181318,1.0910963343664628,2.316164498629305,2.062059487090784,6.470764865654112,11.468329025040589,0.8845644357534852,0.808148644363257,0.6282722513089005,0.69
NO_MODEL_A_CONTEXT,4,2023-2024,2.126731017187439,3.3318754554148677,0.4686129248180835,-0.21818526934296673,0.40844877023423637,2.4708343540285225,2.651528461771415,6.952921201370467,10.83350153040169,0.9542161349703613,0.8532057981551324,0.8766233766233766,0.8
